"fake_review","fake_review_date","fake_review_rating","fake_user_id","fake_user_name "
"This restaurant got great reviews so we must have been there on a very off night.  I called ahead and made a reservation and told them it was for my sister's birthday, so they knew it was somewhat special.  Although the place was practically empty we got stuck in the back room which reeked of kerosene and was freezing at foot level and boiling at head level.  Three out of the four of us did not like our entrees.  The service was pretty good though and the price wasn't awful, but never again.","12/17/2016","1.0 star rating","dHv69W6ANxlKxLXnmgRtwQ","Ann S."
"Not very accommodating. We had a reservation for 6 and at the last minute needed to change it to 7.  We were told very coldly that there was no way they could add another seat for us. So...we left.  They missed out on a huge bill! Went across the street to a French Bistro and had a positively wonderful dinner!!!!","4/27/2015","1.0 star rating","_PVCxgNyEN0F6nt1irhIQA","Peggy B."
"Food was great but atmosphere and service could improve. whole restaurant was noisy and busy. on the website it says kids aren't allowed but when we got here there was few families with kids. our dinner was good but couldn't hear anybody at the table. even though the food was amazing the noise ruined it.","8/3/2016","2.0 star rating","-lg_Ny2kTwA2I2br_1GsIQ","Izzy L."
"Great brunch menu, with something for everyone. I had the fried chicken and waffles which were to die for. Service was a bit lackluster though, as many tables around us were served, ate and paid before us, although we had been seated before them; our waitress seemed a bit distracted throughout the meal. Despite the service I'll probably return for the killer food.","9/16/2015","3.0 star rating","fYHZir8R1Q4D0CwU8YsNLw","Audrey S."
"Been to Gather many times and loved the food.. My wife made reservations at 7p for my birthday....we walked in and right away were told they were running late. At 7:40 we were given a choice of a group table with stools, or continue to wait for the table they had hoped to be vacant at 7p.  Both choices were unacceptable.  We finally sat down after 8p.  Needless to say ... The night was wrecked.   Our tip reflected it...but we got a free desert.  Thanks a lot !","3/5/2015","3.0 star rating","qUkdNocbZNNjTAqi3VJF4Q","William S."
"A good experience.The cocktails we tried (the Jazz Man & the Count) were quite good. The Gathering Board was fun to share--a good variety. I thought the octopus was slightly-too-charred. The scallops and beets dish was well received. I thought the ""Spaghetti alla Chitarra"" dish was too cheese-heavy (--maybe just a case of misplaced expectations or ignorance, but I didn't expect the spaghetti to be in a pool of cheese sauce). The cheesecake and the beignet desserts were good, but not exceptional. The wine list was appropriate.Service was very good, and the atmosphere was just what we were looking for: lively but intimate.","2/9/2014","3.0 star rating","cjmk-bcbH25m_BhdqS0Avg","Ben T."
"A wonderful place to 'gather' for a meal with friends.  Definitely worth a visit.   I will be back!","2/9/2017","4.0 star rating","hakf5MakDBrv11QOB4OeWw","Robin M."
"I came in the midst of warm weather, this season and found the back oasis a treat. The covered outdoor area was arranged perfectly to host a handful of small groups. It felt very tucked away, and even though the voices bounced around making it louder than it should have been, the charcuterie spread was well worth it. The portions of meats were huge, actually most of their  dishes. I'll be back for another wonderful snack.","7/21/2016","4.0 star rating","orQnFpng3NpvyGuJ5P9FRw","Salvador I."
"A group of four of us went for dinner on a Friday night. We didn't know they had a beautiful back patio, but maybe one day, I can snag a table and sit out there.The cocktails were lovely! They had a diverse mix and will tell you more about them if you ask to help you make better decisions. The fruity ones were lovely without being too sweet. We enjoyed the beet salad and the ricotta spread on bread a lot! Also, I adored the halibut. It was fine since we shared and two of us were halibut fans and the other two loved the scallops.  We also had the pasta with a variety of mushrooms which was nice, but not especially noteworthy. There is a little open kitchen and they crank out food. You can sit right there and watch the action.I will say that on a weekend the place was really loud! It was really crowded.Also really enjoyed the apple fritters for dessert. The fruit in the strawberry rhubarb crisp/crumble was great, but the topping was ok. The dessert portions were generous and great for sharing. I went with a pescetarian and I will say that when the meat was on the side, it didn't really take much away. So I would recommend this Lincoln Square spot for anyone who wants to enjoy some fine cuisine and cocktails in a trendy environment.I am curious about their breakfast/brunch offerings.","7/17/2016","4.0 star rating","AraTKD3kUD5_ZtzSi4Hgqw","K W."
"Excellent food and presentation. Wonderful ambiance, adequate service. Pricier than $$ would suggest, but recommended anyway","7/11/2016","4.0 star rating","YFiLnqbJJG2KoaEp_d9YJQ","Hugh S."
"This review has been removed for violating our Terms of Service","11/29/2014","1.0 star rating","VvHXq7k5GTfnjFCGxA85iA","Tim C."
"This review has been removed for violating our Terms of Service","1/16/2014","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","12/17/2013","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","8/28/2013","2.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","1/12/2015","4.0 star rating","0x_Jzyg4LRxDaX3Yzq144A","Alexander N."
"This review has been removed for violating our Terms of Service","11/9/2016","5.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","1/22/2016","5.0 star rating","IiUhKdYxWi48qfsGOlMI7g","Shel B."
"This review has been removed for violating our Terms of Service","1/8/2015","5.0 star rating","sF9N8L_PetduE5DeORQ6Lw","Tom W."
"Great value for a good meal! Went one of the first nighttime Collect was open, and I was actually impressed at just how upscale my meal turned out to be for such a fair price. Wife and I shared a couple of plates from the Collect (sharing) menu and then each had a prime entree. We left full and actually loved the wine, and were out the doorway at a great cost.","6/6/2016","4.0 star rating","bGRnB_-1zd-G2W2jZrAPxA","Jillian F."
"Great value for a good meal! Went one of the first nighttime Collect was open, and I was actually impressed at just how upscale my meal turned out to be for such a fair price. Wife and I shared a couple of plates from the Collect (sharing) menu and then each had a prime entree. We left full and actually loved the wine, and were out the doorway at a great cost. Highly recommend!","3/9/2016","4.0 star rating","0AcM_njHWR50wOOYxNo5Og","Dorothy R."
"If your able to sit at the Chef's bar and watch them work, well it would be better. I suggest having a drink first, watch a few of the dishes being prepared, then that's the time to order. You get an amazing inside view of the food being prepared. Better than any menu description. Great food. Wonderful!","3/7/2016Updatedreview","4.0 star rating","n09VNv1u-Qltwh6Zo50zLw","Clinton S."
"Seriously speaking, Gather has captures the hearts of many. Why? Well, its obviously because of the list of good quality wines in their wine bar. Not only the wines but also with their nice twist of Whiskey smash, you night would be really ultra amazing.Good Music BackgroundGood romantic vibe, its kinda great to have this kind of atmosphere if you are with love ones.Im into seafood that night so I ordered Grilled Octopus, its kinda new to my taste, from top to bottom, I will give it 4 star. Perfect, that's what Grilled Octopus should taste like.","3/2/2016","4.0 star rating","cR9JgkPF10cfiu6Q81qBRw","Mario B."
"this place is so great. the wine,the food,the staff very friendly. i would diff come back here theirs just so much variety.","2/8/2016","4.0 star rating","33QqnUqdEVVX7PBnfV99Ew","Pebbles H."
"We gathered here with my best old buddies to talk about the upcoming party. We have chosen this place for its wonderful ambiance.We reached here with warm welcome from the staff. Two thumbs up for their wide wine collections.","1/15/2016","4.0 star rating","wvYsLjlA8dd5ewkWeAPKAg","Timothy R."
"Good and thoughtful food. I had the roast chicken. It was delicious a bit dry and higher priced than I hoped for but at least they're trying. Service was also professional and knowledgeable. Thanks for giving Lincoln Square better food options!","12/22/2015","4.0 star rating","Hk4Tv2o5F42YYuymzsbD2A","Frank S."
"I did nit expect much from this place but I left it fully satisfied!!The ambiance, the food, the staff ... everything was brilliant!","11/30/2015","4.0 star rating","RRCT7535FVms5wn4J5frWA","Fiona W."
"Great bakery that has great food. The people were really kind, they're very strict on their cleanliness which is one of the greatest thing that I liked about them.Sticky bun was good, its the first that I had this kind of bun, I am really greatful that my friends showed me this place.","11/24/2015","4.0 star rating","EXo2aODb4AZnrsFDZ0hMNQ","Rose C."
"Really enjoyed my meal here. Everything was really good and fresh.plus, the music playing was awesome!!!","9/1/2015","4.0 star rating","6vaTKJ5Bwhnu4s60Cnnb2g","Jeremy W."
"This review has been removed for violating our Terms of Service","11/29/2014","1.0 star rating","VvHXq7k5GTfnjFCGxA85iA","Tim C."
"This review has been removed for violating our Terms of Service","1/16/2014","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","12/17/2013","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","8/28/2013","2.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","1/12/2015","4.0 star rating","0x_Jzyg4LRxDaX3Yzq144A","Alexander N."
"This review has been removed for violating our Terms of Service","11/9/2016","5.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","1/22/2016","5.0 star rating","IiUhKdYxWi48qfsGOlMI7g","Shel B."
"This review has been removed for violating our Terms of Service","1/8/2015","5.0 star rating","sF9N8L_PetduE5DeORQ6Lw","Tom W."
"Great, imaginative food.  Accessible.  I have yet to have a grumpy or precious or snippy waiter.  The patio is very nice.  I think that this is a delightful place for dinner or brunch.Enjoy!","9/1/2015","4.0 star rating","eC-bTLomo_R0rKjlk9PW9g","Discerning C."
"It may be hard to get a table at this place...but it is worth the wait!  The menu is very original...seems to be locally sourced.  They change the menu regularly so you will always have something new to try!","7/20/2015","4.0 star rating","aErRTxtDcmbCWIXJEwn_ng","Alex P."
"I meet up here with a friend for brunch and it was a delightful experience. They have plenty of vegetarian options which makes things very easy. I ended up going with the Benedict, which is a breakfast staple of mine that I usually go for. After looking at what came out of the kitchen (thanks to the counter seats) I wished I would have gone for the chicken and biscuits option. That aside I will have to admit I was still very satisfied with my meal. One of my eggs was slightly overcooked, not to the degree that I got upset about it but it was slightly over. I do like the use of the thin sliced ham in the place of the Canadian bacon. The bits of bacon over the top made the salt content absolutely perfect. I also got to taste a bit of my friends pork belly-free breakfast skillet. It was really good and the salsa was brilliant and added a nice acidity that I think would have went perfectly with the fatty pork belly. Yet and still you could tell that it was a substantial and satisfying dish.","4/19/2015","4.0 star rating","WdBQHjJ-_kyHnzZBSu_u1Q","Robert C."
"We got caught in the rain, and stopped in this restaurant by luck. It was a Sunday, and besides their regular menu they serve a family style dinner.  You get to choose from 6 entrees and several sides. Our foursome sampled almost all of them and the food and salads were fresh and outstanding. The service was also excellent. The seating is a little cramped but the meal was worth the small annoyance. The pricing was reasonable. Great neighborhood spot and worth the drive if you live elsewhere.","5/5/2014","4.0 star rating","7dx29L6WMbNkNI5xlAKY3Q","Bella N."
"Great neighborhood spot! I've been here a few times and always enjoy my experience. The staff is knowledgeable and really helps you feel at home. I haven't been for brunch but hear its a must. I will be back.","3/21/2017","5.0 star rating","1UJ6JQIRfP3jg5_koC2rlA","Sara C."
"Delicious - and amazingly attentive service.","3/10/2017","5.0 star rating","yAyttyauJv9kR9A6rV4tnQ","Kerrie B."
"My absolute favorite brunch place!! The food is unique and innovative. It's not just your average bacon, eggs, and potatoes diner. Gather combines unique and wonderful flavors from all over to create the most exceptional and flavorful dishes. Will be coming here weekly!","1/8/2017","5.0 star rating","doDoVe1sbk0baaC_C4rVBg","Ginny N."
"Perfect restaurant, except for one server. I love Gather. It's become my new favorite restaurant. The food is always fantastic, and I appreciate their rotating menu, because even if I go multiple times a month (and I do) there's always something new to try. Their back patio is especially charming, and their brunch is one of the best in the city. All in all, Gather is practically perfect. However, I've had several negative experiences with one of their servers (Max) and frankly I'm surprised they still employ him. On my last visit we dined with him again, and though we are regulars and he's served us several times he asked us if it was our first visit (I only point this out because we go so frequently that the rest of the staff all know us). He then either forgot to order one of our dishes or left it on hold for too long, because we had a 20 minute wait for our last dish...which was a salad. And every time we wanted more water or to order more wine we had to struggle to flag him down. But the real reason I was upset enough to reactivate an old yelp account is that after confirming twice that my friend has a peanut allergy he served us a dessert with peanut ice cream, which she realized after taking a bite. He then made excuses that it was a new dish and he can't be expected to know all the ingredients yet. No, but you should damn well know the major allergens. To add to the absurdity of the situation we overheard the table behind us suffer the same fate - he served them a different dish which one of the guests was allergic to. My friend and I have both worked extensively in the industry, and I'm so disappointed to have these experiences at an otherwise fantastic restaurant. I can't stress enough how wonderful every other aspect of Gather is. Now it's just time for them to replace that one waiter and it will be truly perfect.","10/20/2016","5.0 star rating","XVNJJbLdXtaCzUAHxeRMhA","Raquel R."
"Gather is, simply put, one of the most spectacular restaurants in Chicago. This goes so far beyond merely having an incredible rotating menu of delicious food and drink- the staff at Gather are never less than brilliant and work hard to make sure that everyone has a fantastic experience.My husband and I were introduced to Gather by two of our best friends and since that first experience we've shared it with those closest to us as an opportunity to pay that experience forward. We recently had our small and intimate wedding and David went so far out of his way to make our post-wedding brunch absolute perfection. He worked with us to secure a spot for us at a time and date that worked for us and made the whole process effortless, we cannot thank him enough! On the day of everyone agreed it was one of the best dining experiences they'd ever have. Thank you all again for making our day even more special! Do yourself a favor: book a table and get yourself to Gather.Kudos also to servers Max and Jamie for being amazing on every visit!","8/29/2016","5.0 star rating","o5SYVuqWWqF9F7FZS6EzPg","James C."
