"real_review","real_review_date","real_review_rating","real_user_id","real_user_name "
"Went in for lunch today. Waited five minutes to be greeted by a host. When we were greeted it was to an icy reception. We were seated at the chef's counter where we waited 10 minutes for water by our brusque server. She poured out water and went off to waiting other tables for 20 minutes before we stood up and left. Very disappointed as this was one of my favorite places to eat in Chicago. I also have sent Bottlefork thousands dollars in business since opening. Those recommendations end today.","12/16/2015","1.0 star rating","JG5Hizhl35lCE0xqrYGomw","K.c. S."
"Stopped in on Mother's Day.  Bought a glass of wine from a dispenser that was not very cold and cost $17.00+.  Over priced and not good.","5/11/2015","1.0 star rating","CoqlifjS0hgwnE8ZfvR0lA","Linda B."
".","3/26/2014","1.0 star rating","5ibfiKePPa7-CWyHk2DRvw","Stacie K."
"It is ok. Food is ok. Drinks are highly overpriced. It is almost they are trying too hard to be cook kid on the block.","5/9/2016","2.0 star rating","cWvZVq62-E7xJOBiQReS2A","Kent S."
"Stopped by a few weeks ago, the atmosphere is chill. The food, to me, was average but they had good cocktails. I'll probably be back.","5/3/2016","3.0 star rating","lm-JudZREGDhl7MzX68-sQ","Mike M."
"2.5 lunch only. brisket pretty good coulda been bigger. service good. chips and egg a novelty but just not that good. fish n chips smelled a little well fishy from where I sat. lil bit.  I dunno u get often only get one chance at lunch. knock it out or else. I guess.","9/29/2015","3.0 star rating","s0kJco8W1w9rH9mrbuvPJw","Darl B."
"Visited 1-16-15.Had the tots, which were good--but are basically just big fried mashed potatoes with cheese sauce.  The Mediterranean Salad which was alright but drenched in dressing and overly tangy.  My entree was the Orechhiette Pasta, which was very average.  Fiancee loved her entree, the grilled octopus & spam.I got the pretzel caramel sundae for dessert, which was delicious minus the gelatinous blob of beer foam on top.","1/20/2015","3.0 star rating","V0HmCahHG__lRNr5M9bd0w","Oscist .."
"it's aiite","9/19/2014","3.0 star rating","JmbOg3_etAIWMOvUsAUeAg","Tri N."
"The place is cool--very hip, way to spendy for lunch and not enough menu items. The also appeared to not have enough staff. The guy waiting on us seemed to be waiting on the whole restaurant. Because of this we had to ask for our drinks twice. Food was ok--didn't warrant the price tag. I was bummed because I was very excited to try this place out. Charging $15+ for an entree and not including a side it a bit over the top even for downtown. Plus I had a$10 coupon from registering which the waiter forgot to deduct and I got tired of waiting for him to return since I was on my lunch HOUR. I'd go back for drinks and to hang out but probably wouldn't spend the money on dining here again.","7/9/2014","3.0 star rating","qgrQ2cAFkK4MP2fJBZFUNQ","Jen N."
"I tried the bloody mary with the bloody buddy.m.sat at the bar and ordered the scallops and ensalada latina.lunch wasn't especially busy and i was able to get a table right away.i loved the creamed kale mashed up in the fried egg! Â the small pieces of bacon reminds me of lardon and i love everything about this dish.i was really hankering for the squash flatbread but it was towards the end of the night and half the menu options were off the table.the place is super packed but based on the dishes we ordered; it isn't clear why.our sights were set on beverages.we stopped in for lunch on a friday.5 excruciating minutes later it arrives.","11/9/2016","4.0 star rating","6dwHcjbeBIvUPOO6cU0CVQ","Chris M."
"This review has been removed for violating our Terms of Service","4/20/2014","3.0 star rating","T36KHi6uBe0AGp-Doisomg","Hillary M."
"This review has been removed for violating our Terms of Service","4/2/2015","4.0 star rating","vnjaThJRlM1unFe_W2zXiA","Angelina N."
"This review has been removed for violating our Terms of Service","12/31/2014","4.0 star rating","R1Hkg3bl0jkuSjWH4KqdJg","David S."
"This review has been removed for violating our Terms of Service","4/6/2014","4.0 star rating","9OOxdsUptqLF4GcyiQ50sw","Kristin M."
"This review has been removed for violating our Terms of Service","3/18/2014","4.0 star rating","8HggnDfWYZafuIaZtiYWkw","Carol S."
"This review has been removed for violating our Terms of Service","1/15/2015","5.0 star rating","0Jlsw4aAV4iACsMCFLuzbw","Bobby Y."
"This review has been removed for violating our Terms of Service","12/31/2014","5.0 star rating","m89CVwMiTcyrvedtVZuIzQ","Catherine O."
"This review has been removed for violating our Terms of Service","3/19/2014","5.0 star rating","I7X5lFeqy5odQLeKXcHe4A","Carolyn L."
"Love love love the cocktails. The always snow in your driveway is awesome. We tried the tots- spicy and more of a hash brown than tot but good. The wagyu beef jerky was just ok. The tuna crudo is excellent. But the burger is why we came it was written up in the Tribune. It was good I would say one of the top 10 burgers in the city. To end we had the strawberry shortcake sundae with homemade soft serve is excellent. Overall I enjoyed the atmosphere and the service was excellent. I would come back","7/24/2016","4.0 star rating","yquqBuvNKw0Lf_OOOvW-Ow","Brandi L."
