"fake_review","fake_review_date","fake_review_rating","fake_user_id","fake_user_name "
"Does the ""B's"" in Doc B's stand for balls?  Because thats what this food tasted like. We got it delivered through Grubhub and it showed up 2 hours late cold as hell.  My girlfriend was so disgusted by this that i got zero action from her that night.  I also had to watch Parenthood with her because she was so upset instead of the Big Ten Championship.  Not mad about it though, Ray Romano has transitioned nicely over to drama.","3/16/2014","1.0 star rating","XSao24D1-siejKQVZBNbEQ","Steve G."
"unbelievably overpriced.  Just ordered a grilled chicken salad and literally needed a microscope to find the chicken, which consisted of about an oz of dry, chopped, extremely salty cubes of chicken buried in an overwhelming pile of sprint mix that looked like it was purchased at Trader Joes.  I was starving before I went in and now i'm still starving and angry because I just spend $14.00 for lettuce. I was looking forward to trying a new eatery in the neighborhood but recommend that if you want a good meal for that price, skip Doc Bs and go to the Indian place next door.","10/7/2013","1.0 star rating","QmyXWcLYgd_i6Zd-pToOSg","K B."
"I am going to make this quick. I am new to Chicago and this is my first review. I stopped in a few days ago and this was my impression: The food is ok, but overpriced. The service was pleasant, but everyone seemed stressed, Overall experience was less than average. I got the impression that they opened before they were ready. I would wait a month then see where they are at.","9/23/2013","1.0 star rating","l98-bJCEOvQ-yN2P2ZanNg","Johnny V."
"I was pretty disappointed in the food here. The ambiance is cool but that's about it. Service sucked. She wasn't remotely friendly until it was time for a tip, then once she got it she was back to ignoring me. Pan seared chicken was not good, the potatoes were ok and the French Toast Crunch Cheesecake sucked. One highlight was the chips and guacamole, very good!","5/12/2016","2.0 star rating","kbFebt6nf-WirNO6iFiG2A","Michele m."
"Low quality food in a high rent area. If you are visiting Chicago for the first time, do not let this establishment be your first experience. There is so much more to explore. A lively and fresh environment cannot mask poor quality food at a high price.","11/12/2013","2.0 star rating","6CqibMLdcIufX8Rq2K2E4A","Stevie G."
"So slowwwww. not sure why, not that crowded simple burger. y? y?the burger hinted to me that there may be a Sysco truck involved along the way. kust one gent's opinion you u must understand.","11/18/2016Updatedreview","3.0 star rating","s0kJco8W1w9rH9mrbuvPJw","Darl B."
"They don't have ranch here. I can't eat chicken without ranch. Very tragic.","6/7/2016","3.0 star rating","9MaH4wAlbVA5qCLMMsYl_A","Sally G."
"Went on a Saturday night around 7pm and was seat right away. The salads are all amazing, we received our food in about ten minutes. Almost too fast...but food was great!","3/15/2017","4.0 star rating","YXKqFEYCt3H_eoh-4_CKCQ","Caitlin P."
"Sandwiches were delicious, especially with their sweet potato fries. We split the artichoke for starter and the cajun chicken sandwich with sweet potato fries. So good! But a little in the sweet side. Would like to return for their other meals.","10/3/2016","4.0 star rating","cR9JgkPF10cfiu6Q81qBRw","Mario B."
"Came here for the first time together with friends and we really enjoyed our first time dining experience here. We've got the Crispy Chicken Sandwich and the Corn Chowder, really good in portions and very delectable, we love it. Our simple meal was so satisfying. We tried also the Salmon Wok Bowl w/ Lo Mein and Spicy Sauce.- worth dying for. Love it! It's cooked perfectly. The service was amazing, friendly and nice staffs are very accommodating us. We love both service and food. We really enjoyed them! Decided to come back here next time to try some of their menus.","9/8/2016","4.0 star rating","rougx3FgDm3mK9xKkqwReg","Barbie S."
"This review has been removed for violating our Terms of Service","12/23/2013","2.0 star rating","hIMSfqranmB3pxqmX7mFGQ","Jax H."
"This review has been removed for violating our Terms of Service","1/14/2017","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","11/8/2016","4.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","8/2/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","7/31/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","7/13/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","1/9/2015","4.0 star rating","CaCMUl-tO6t565pY_AKjDw","James F."
"They have a delicious veggie burger that can be made vegan if you take off the cheese.","9/6/2015","4.0 star rating","O_p0K9bl4C41Dh1TrCkUCw","Maria F."
"Dropped in and was very pleased with the service, drinks, and quality of food. Would definitely go back if I was in the area.","1/26/2015","4.0 star rating","tMPXBRMSz5IOdJTIsZ0CIg","Joseph P."
"Great food - great vegetarian options!","9/29/2014","4.0 star rating","VohDuBWl79B-ZDlHzIQgDA","Candi C."
"Doc B's always hits the spot. I always get the Wok Out Bowl with salmon and it never disappoints. Salads are top notch too. Super fresh ingredients and good service in a nice chill atmosphere. Good for carry out as well. Only reason it's not 5 stars is because it's a little on the pricey side for what it is.","8/12/2014","4.0 star rating","A1Iu8uTdjxK4VBiqWwlByw","Lucas M."
"all i've had is the seared tuna salad.  but i've had it three times and it was fantastic and i can't wait to have it again!","11/5/2013","4.0 star rating","GRK6W1XqieEK9H6M54GeTQ","Kimberle S."
"Amazing Thai Beef Bowl with fresh veges and brown rice!  Excellent atmosphere and location.  Great service.","3/18/2017","5.0 star rating","BVRw8DbmvM0-bZvJ0JmWuw","Dana M."
"Great service, great staff and great food! Everyone at the front desk was warm and friendly, even though there was a small wait. Once we sat down the staff was very professional and helpful even with a nice busy buzz about the place. We didn't want for anything! Wok bowl was a nice touch and salads were fresh and great flavor! Would like to see more beer variety, but can't complain about having off color on tap. The wife & myself will be back!","9/9/2016","5.0 star rating","bPQe7ykayU1xtVdRDBf3kQ","Mark Z."
"Went here the Monday after Lollapalooza looking for a fresh and yummy meal and got exactly what I wanted. I ordered the matzoh ball soup to start and the  salmon with parmesan broccoli as my main dish. Both were absolutely delicious, and I loved the sauce that came with my salmon. I was in a group with 6 others, and at the end of our meal we asked her to give us separate checks, and she was great about doing so. I recommend!!","8/2/2016","5.0 star rating","vzL7sTCWZs2k0RoQ2H6W4g","Nicole M."
"Amazing food! I usually get the salmon with a side of french fries. The salmon is tangy and just so delicious! Best restaurant in town","7/31/2016","5.0 star rating","_NBmTIoopHidtvCEqbVSOw","Ibrahim S."
"Great food, great service. All five of us enjoyed our meal from start to finish. Sweet potato fries would've been better if crispy. Everything else was delish. Highlights: tuna appetizer, guacamole, wedge burger, gelato cookie sandwiches yum yum.","7/23/2016","5.0 star rating","RHkXv-EKVlDukSCmsgmp0A","Quinn G."
"This review has been removed for violating our Terms of Service","12/23/2013","2.0 star rating","hIMSfqranmB3pxqmX7mFGQ","Jax H."
"This review has been removed for violating our Terms of Service","1/14/2017","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","11/8/2016","4.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","8/2/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","7/31/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","7/13/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","1/9/2015","4.0 star rating","CaCMUl-tO6t565pY_AKjDw","James F."
"Had to grab a quick lunch and Doc Bs was close and convenient. Atmosphere was good and first greeted by our server Jasmine. She was absolutely the best and made the whole experience superb. Jasmine started off with explaining the days specials and answered all of our questions concerning the menu, then gave us input and recommendations that were spot on. My wife and I shared the Tangle Noodle salad and the Dragon burger. The noodles in the salad were absolutely amazing. The salad was large portion and full of all ingredients listed, very flavorful and would most definitely  have again.The Dragon burger was spectacular. Hands down one of the best tasting burgers I've had, and I'm talking just the meat alone. The burger came piled high with a mound of French fried onions and a slaw with just the right spice that didn't over power the awesome tasting burger patty.My wife had the Paloma cocktail, a fine mix of avion tequila, grapefruit and lime. I had a taste and we both agreed the drink was very well done.Doc Bs was excellent in every way, from Jasmine's excellent service to the outstanding lunchtime meal. I would absolutely return next time in town.","7/10/2016","5.0 star rating","smg4mElUvkFszfWHcUQ84w","Doug N."
"a little sad I didn't find out about this place earlier. Delicious & I think healthy?I had the chicken wok out bowl with quinoa and my girlfriend had the veggie wok out bowl. They were both awesome. 5/5 stars!","6/11/2016","5.0 star rating","u9ZCi-q2Bt08vHvrtASvlQ","Tony A."
"The Margarita Pizza was so fresh, the chicken wings were incredible (esp with the garlic sauce for dipping) and of course, the sweet potatoes fries were to die for.  Very VERY satisfied.  Music was a bit too loud, but the food  made up for it.","5/17/2016","5.0 star rating","lusOihzB78FtTqMxwPibzw","Sarah Crisp M."
"Solid food.  It's difficult to get seated because of the amount of people waiting to get seated.  It's worth the wait","5/15/2016","5.0 star rating","mg0fbTis4U9a7KN3Sn9wrg","Nate S."
"Great place. Here on business for a night. The red blend (sexual chocolate) at happy hour is highway robbery at $5. The service was great, our server Adam was exceptional. The kale salad with salmon was the best and the wedge burger was phenomenal. Highly recommend this place!!","5/3/2016","5.0 star rating","-OLKyRiS_LJJynTL3e3h8A","Jim P."
"healthy","4/29/2016","5.0 star rating","53WNn8atQUrrx_y4_LgPiQ","Regina J."
"Amazing food and great service, really recommend this great restaurant. I will definitely be back again to eat the #1 tuna sandwich","4/8/2016","5.0 star rating","q063_fOFetjxoq9D325VfA","Miguel G."
"Found this little gem on Yelp while visiting Chicago and We're so glad we went! Awesome everything, food, service, atmosphere and good local beers! Definitely recommend for a spot of lunch!","3/25/2016","5.0 star rating","u0l8Vf-VgfmEmZfnNFR0Xw","David C."
"Good is fresh and delicious. Service is down to a science and they take reservations.","12/6/2015","5.0 star rating","kn8U2MhKpTxTFaINCppMiw","Stephanie A."
"Amazing food. Amazing wait staff. Amazing experience. I had an incredibly healthy and delicious meal. Best part, hands down, was our server Bri. She gave us great recommendations and was so kind and funny. She anticipated our needs before we even new what they were. If I have a daughter one day, I hope she turns out half as nice as Bri. Bri is truly great!","11/9/2015","5.0 star rating","bv6_TxHJP5uy-0MJYl-CdA","Oliver R."
"This review has been removed for violating our Terms of Service","12/23/2013","2.0 star rating","hIMSfqranmB3pxqmX7mFGQ","Jax H."
"This review has been removed for violating our Terms of Service","1/14/2017","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","11/8/2016","4.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","8/2/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","7/31/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","7/13/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","1/9/2015","4.0 star rating","CaCMUl-tO6t565pY_AKjDw","James F."
"In Chicago for a wedding; staying at Westin Hotel. We wanted a restaurant that was close to walk to. We found it!  Really good food and wonderful service. Grilled artichoke was really good. Knuckle sandwich--AKA Lobster Roll was better than I hoped it would be. Roll had great flavor and so did the lobster. All 4 of us were very happy with our food. The price was very reasonable.","9/25/2015","5.0 star rating","JBfBy7jLCevCa47LkiAUQA","Ellen H."
"Amazing food and kids friendly too.  Had a good time there.  Thank you for the good food as well as the waiters were quick and very helpful.","9/5/2015","5.0 star rating","S9QBTa0lTckWp13Kzc2zFA","Yogi M."
"Definitely a be-back place. Very good service & food. What's not to like?","7/9/2015","5.0 star rating","DC_QK_afxSawJMlpPtiaCw","Judith K."
"Best burgers and sandwiches around.  Quick food with great waiters and waitresses.  There's something for everyone and it's so delicious.","3/25/2015","5.0 star rating","_slgOVwigNLuoWkzSoHIhw","Matt H."
"Their salads are best. Perfect serving size, great service.","3/8/2015","5.0 star rating","sQZASV3A7B_DHWHAivztjg","Lutfiye G."
"Excellent service and food!  So glad our hotel recommended this place !!  Generous portions -- tons of flavor --great staff!!","10/28/2014","5.0 star rating","xtYwvBhmjHaBS9b7TYTMsQ","Debbie L."
"Everything here is so good","10/22/2014","5.0 star rating","Nw1Kng_sMV_b83HoSvmTuA","Jessica L."
"One of my favorites in the area, great burger!","5/17/2014","5.0 star rating","dTdajroU1gW5N63lIbGEwA","Mae S."
"Absolutely thrilled with this place!!  After several great experiences, I've become a regular here.  Besides being one of the more relaxed and affordable places in the Gold Coast (while maintaining an upscale feel), both the service and the food is amazing.  I like to sit at the bar and order with either Pat or Craig - both great guys who are very attentive to their customers.  I'm slowly making my way through the menu, but so far my favorites are the Number 6 Sandwich with Chicken, the Dragon Burger with sweet potato fries, and the Chicken Wings with Chimchurri & Parmigiano Reggiano.  Good stuff!  Plus a nice selection of craft beers on tap and by the bottle.  :)Haven't had a chance to brunch here yet, but I'm excited to check it out soon.  I'm sure I won't be disappointed!","1/2/2014","5.0 star rating","Mo5m11xQjqf8ABp159-LFg","Christine H."
"This place is fantastic! I work next door and live three blocks away and I am consistently in here. If you're looking for dine in, ask for Mark . He's sweet, caring and fun! If you're looking to grab a quick seat at the bar, ask for Craig or Pat. After  a long day of work, they make the best drinks. On top of it all, the food is amazing! Hands down best drinks and service! I'm so happy they opened in the neighborhood!","12/12/2013","5.0 star rating","DGpTeuUP5uPEjxvmCS30XQ","Jordyn D."
"This review has been removed for violating our Terms of Service","12/23/2013","2.0 star rating","hIMSfqranmB3pxqmX7mFGQ","Jax H."
"This review has been removed for violating our Terms of Service","1/14/2017","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","11/8/2016","4.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","8/2/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","7/31/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","7/13/2016","4.0 star rating","Anbh8PuSTPE25BDax0Gunw","Shahzad S."
"This review has been removed for violating our Terms of Service","1/9/2015","4.0 star rating","CaCMUl-tO6t565pY_AKjDw","James F."
