"fake_review","fake_review_date","fake_review_rating","fake_user_link","fake_user_name"
"Came here at 11pm on Thursday. The restaurant was packed, but luckily there was a table available. Definitely try to get here early if you're coming in a big group.Ordered two dishes to split between 2 people just to address our late-night fix.salt-roasted beets with whipped goat cheese and pistachio butter- this is a definite must try. Beets were cooked just right and I loved the mixture of the cheese and pistachio butter. Couldn't stop eating this dishmilk braised pork shoulder- this was very good. the pork is very tender and the sauce was rich and perfectly salted. it was a good mix getting the beets and pork shoulder as they complemented each other. however, you can probably do a great job of making pork shoulder that is more or less as tasty, so I would probably try something else on the menu if I come backPurple pig had great food, excellent service, and is located in the main part of the city. Absolutely loved every aspect of my dining experience here, and will definitely return the next time I visit Chicago.","4/30/2017","5.0 star rating","https://www.yelp.com/user_details?userid=oHwvzTeN8bHmqWJg24c2zA","Richard F."
"Great vibe, ambience, crowd, location, menu, staff, service etc.I had heard about the Purple Pig from family and friends therefore I had to try it. Thanks to another fellow Yelper, I decided to try the broccoli. Boy was it fabulous! Cooked to perfection, moist yet crispy topping (panka perhaps), great taste and good portion.I also had the lamb-absolutely a must try. It was tender-the meat fell off the bones. No fat, clean meat and tasty.Also had spicy margaritas very well made.My neighbors had the beef tenderloin and octopus. Both looked wonderful and were thoroughly enjoyed.Can't wait go go back!!!","4/29/2017","5.0 star rating","https://www.yelp.com/user_details?userid=4D4JwxN07FFDIFswH8E4Ow","Virginia T."
"This place is really out of this world. I have dined at some really nice places in my life and this place is in my top 3. Quite possibly my only complaint is that they need more tables!!! Service: Excellent both times I have been here.Food: I had the salted roasted beets with pistachio butter -- I am still fantasizing about these and will continue to do so. Incredibly delicious, fresh and never had anything like this before. *Must try in my opinion*. I also had a fava bean hummus with sauteed chard with lemon, also excellent. The beets dish is the best thing I have had in a looong time.","4/29/2017","5.0 star rating","https://www.yelp.com/user_details?userid=WqG56fpM4Tx2KGdkAMN3ag","Priya D."
"The Purple Pig was the restaurant I was most excited about coming to Chicago. I absolutely love tapas/small plates restaurant, all the more reason to overeat delicious foods!My boyfriend and I got here at around 4:50 pm on a Sunday evening before a Second City Show, and there was no wait. We got seated at the end of a communal table. Our waitress was so friendly, helpful, and efficient. She came over and took our drink orders and then answered a couple of questions we had about the menu. We ordered The Pig Platter, the salt and vinegar fried beef tendon chips, the bone marrow, the octopus, and the pork jowl. The Pig Platter: I loved all the different meats and the pickled veggies it came with. The pickles were delicious and went so well with the meat. I loved it!Salt and Vinegar Fried Beef Tendon Chips: It was salty, fried goodness. My boyfriend LOVED it. It was good, but I also felt like I was gaining .5 lbs with every bite.Roasted Bone Marrow: One of my favorite dishes. It was prepared perfectly, and I loved the bread it came with. It was toasted, buttered, and too delicious. The greens that came with it was a great complement to the rich bone marrow. Octopus: When it first came out, it looked like sausage, but damn was it good. The pesto had great flavor, I was a huge fan. The potatoes and the green beans were delicious.Pork Jowl: Our favorite dish. The pork was tender, salty, and so good. We loved the sunny side egg on top, the runny yolk was a great sauce to the salty pork.Some of the dishes were a little heavy on the salt, but nothing the garnishes couldn't help with. Yum. We also decided on getting dessert (even though we didn't need it, but we were on vacation...) He got the affogato and I got the caramel poached pear dessert. We are huge desserts people. He loved the affogato (I'm not a coffee person at all), the poached pear was STUNNING. It looked gorgeous and tasted delicious. I definitely did not need to eat most of it, but that didn't stop me. I love the flavor of the poached pears, and the ice cream was a delicious nice touch. It is communal seating, but that just means you get to check out what everyone else is eating and start some friendly conversations (aka get some awesome recommendations!). Everything was prepared well, service was AWESOME, and it's a fun atmosphere. I can't wait to come back here!","4/19/2017","5.0 star rating","https://www.yelp.com/user_details?userid=QEqHKXoD61jM_Cd6RZuqZQ","Victoria C."
"Ordered: octopus with green beans, bone marrow smears, pork shoulder, pork prosciutto, and cheeses. SERVICE: Pretty minimal contact with friendly demeanors. They have a turnover here, so servers and busboys are quick to remove. If you want something to stay on the table, make sure you assert that. Otherwise, *poof*, it's gone.FOOD: wowza. The octopus was actually the best grilled octopus I think I've had. Which isn't to imply that I am some sort of octopus connoisseur, but I've had my share and this is worth trying. The accompanying green beans are also very well seasoned in salsa verde.The pork shoulder was fall apart tender. It was served with a spoon and I nearly rolled my eyes at how ridiculous it would be to cut pork shoulder with a spoon. Well. They showed me. Accompanying mashed potatoes also amazing.The bone marrow set up was great. Very tender and flavorful. Definitely required a bit a strategy to remove, as bone marrow usually does. There was no cute way to do it. So if you are trying to be cute or polite, this might not be for you. The prosciutto crusted cobia was great as well. Crispy in all the right places, but what really took my heart was the sea beans. Wow.The cheese plate was awesome too. To be honest, I am unsure of which cheeses my lunch mate selected and I didn't want her to think I was a Yelp-obsessed freak (I am.) so I didn't ask her a third time to repeat them. ATMOSPHERE: This place is in a very accessible location, but it should be noted that lines can accumulate pretty easily here. ALL IN ALL: I would definitely come back, and I can't wait to do it.","4/17/2017","5.0 star rating","https://www.yelp.com/user_details?userid=h_sM6nJx5rsQIl1_BrCalg","Devyn H T."
"I love the atmosphere to this place. It's a very open outgoing casual type of atmosphere. It gets crowded and seating can be a bit tight but the atmosphere is great. I like this place. I want to like it more. I want to try everything on the menu. But it's hard when you can only come here ever so often because there is a wait. We got the calamari antipasti which was solid and decent portion size. The rabbit gnocchi was fantastic! And of course we got the milk braised pork shoulder like everyone else does. It was a toss up between 1 more dish of food or dessert. We decided to get dessert and it did not disappoint. WE got their popular Sicilian Iris. It was phenomenal. Every bite was perfectly sweet and mouth watering. I would come back here just to get this. But make sure you get there early if you want it as they usually sell out after 8-9.","4/17/2017","4.0 star rating","https://www.yelp.com/user_details?userid=XqxGzyCZJAsaarZgzutTSg","Dave K."
"What a tasty gem hidden in the middle of the touristy black hole that is Michigan avenue!A+ for service, ambience, and food!Long time Chicagoan but first time at the Purple Pig. Got there at 5pm after work and were promptly seated on the patio. Salt-Roasted Beets with Whipped Goat Cheese & Pistachio Butter -were phenomenal. Portion is perfect for sharing and the whipped goat cheese was plentiful. Just enough pistachio butter to add some weight to the airy cheese and tangy beets. Chorizo Stuffed Olives-6 olives atop some sour of sour cream. Nothing crazy here but if you enjoy olives worth the tasting. Chorizo is a teaspoons worth and breading very light. Pork Blade Steak with 'Nduja & Honey- My favorite dish of the meal! Tender, perfectly cooked pork steak seasoned well and accompanied by an arugula salad and smear of ndula sausage. Very filling and perfect for 2 to share. We originally ordered another main but were informed after waiting a bit that the chef was unhappy with the result. We were comped any other dish on the house! We went with theChamomile Tea Smoked Pork Leg Steak for Two with Charred Cabbage, Sherry Membrillo & Pork Marrow Custard-Fabulous presentation of two great cuts of pork leg. The chamomile lent itself to the meat in a really interesting way in that it made the flavor of the pork stand out more. The charred cabbage was delicious I could have eaten it in a salad. The sherry Membrillo is a guava reduction and was tangy/sweet, a great compliment to the pork. The bone marrow custard came served in a bone cavity. This was good for spreading onto the meat and gave the leanness some weight. Caramel Poached Pears. Almond Genoa Bread, Pear Ice Cream & Chocolate Veil-Absolutely stunning presentation and flavors. The bread is an almond confection so moist and buttery. This is dolloped with a fair share of tangy, true-to-life tasting pear ice cream and fanned with 4 succulent brandy-poached pear slices under a blanket of smooth chocolate. We will definitely be back for a cheese/meat platter and some wine!","4/27/2017","5.0 star rating","https://www.yelp.com/user_details?userid=eHN3ndlTxXh92Ck7fnkaHQ","Jessie Elizabeth J."
"Went here for my birthday and it made for a delicious meal! Not too expensive for the quality, service and presentation (about $33) but definitely a splurge for a student like myself. We got the calamari, the beets, the meatballs and the pork shoulder. The calamari was unconventional and fresh - a variety of textures and flavors! The beets were BEAUTIFUL. I loved the contrast between the smooth pistachio butter and the chopped nuts. The meatballs were alright. A bit small, bland and dry in my opinion. The pork shoulder was so soft and tender. It pulled apart with a fork and was delicious with the creamy potato mixture. For dessert we got some sort of chocolate pear dessert. It had ice cream that tasted EXACTLY like fresh pear and a hard chocolate shell, on top of a spongy and strange textured cake slice. Service was very courteous! Would go back to try other dishes.","4/25/2017","4.0 star rating","https://www.yelp.com/user_details?userid=MtGHbVMVK_x2PvA02t1Gcg","Catherine Z."
"I was told by many I must stop here in Chicago and they were completely right! I love a tapas smallPlate and this is the best I've ever had!","3/27/2017","5.0 star rating","https://www.yelp.com/user_details?userid=aI5WVX6h3dIKMXBe7p17uw","Michelle K."
"Everyone, I'd say mostly tourists, are excited about this restaurant. But I don't think it would be so popular if it wasn't on Michigan Avenue.  The Bone Marrow was good. The braised pork shoulder was rubbery, flavorless, and we ate maybe a quarter of the dish because we were hungry. Friends warned me it wasn't great, but I wanted to try it anyways for the hype. We sat outside for dinner at a two-person table so it was quiet, but the inside seemed very crowded and loud.","4/20/2017","3.0 star rating","https://www.yelp.com/user_details?userid=3IvuzypK3H6m6omM2uRHHg","Marisol P."
