"real_review","real_review_date","real_review_rating","real_user_id","real_user_name "
"The food had too much butter, very in healthy but the wait staff are wonderful and great customer service.","3/6/2017","1.0 star rating","zCiZFGb-3zU8kJKjHjrV-w","Yi C."
"I ordered 3 dishes, fry pig ear with kale, pig liver, and trout. They are the worst dishes I ever taste. Fry pig ear with coated bread crumb, all I can taste is greasy breading and pond of salt. Pig liver in 3 tiny (about 3/4 inch diameter) portion, eatable but quantity is for tiny bird. Trout dish is so salty which I can' tell it's a fish at all. I leave right away after taste these 3 dishes. It cost $43 and so un-worth of trip. I had nightmare just think about those dishes. The restaurant  very noisy, and each table so cramp and close together. Waitress is unpleasant, same as their food. The Purple Pig restaurant totally serve CRAB! I will never go there again and still very disgust to think about it.","9/9/2016","1.0 star rating","0pI4zzqV3Apdn0ogNEudMw","Connie W."
"Very loud and crowded.  I could not hear the person sitting across from me.  Very expensive for only okay food.","9/1/2016","1.0 star rating","8WZ4rR8u7gLqC-MeC8Pe2Q","Butch K."
"salty, oily, too sour. My friend and I don't like it at all.","6/30/2016","1.0 star rating","U_03IpZG7pOKZvh1LvjyQQ","Natalie C."
"Best Buy Smart TV:  Best Buy's salmon assured me thatits warranty covers ALL smart TV repairs on site, free of charge, ""If anything goes wrong with the TV, you are covered!  if you buy the warranty, a repairman will come to your home free of charge.""  So I purchased the expensive warranty.  The TV is only a few months old and has never worked properly, but now, it does not work at all.  When I called customer service, I was put on hold for 25 minutes before I was able to even speak to the ""technician.""  The ""technician"" said Best Buy would not send anyone to service my TV unless I agreed to pay a $149 service charge, even though I am covered by the warranty, and he admitted I am covered by the warranty.  When I asked to speak with his supervisor, he put me on hold for 10 minutes and then disconnected me.  I called again, was put on hold again for 20 minutes and then spoke with another technician who seemed eager to help, but the only thing she could do for me was offer to mail me another remote.  I explained that I already have an extra remote.  She said she could not help me and suggested I call Samsung.","2/1/2016","1.0 star rating","XvikEzzNG3_L3zzmHWN6qg","Fern T."
"You get what you pay for.  I will never use them again.  I don't show anyone my wedding photos because they are not worth showing.  $1299 special is not worth it. Spend a few hundred dollars more and call a genuine professional photography company.  When I was suppose to meet with them about my poor experience I got sick that day and called to reschedule, the young lady said someone will call me back and that never happened.  But I expected that.  Because the owner didn't call me back the first time until I left a poor review.  And two years later I will continue to give this company a bad review because I am left with unprofessional photos.  My video is good though.  That is why they got the one star. DONT USE THIS COMPANY FUTURE BRIDES.","12/17/2015","1.0 star rating","xG1DyzG0oAgQ5cQEb1Q13A","Cari H."
"BestWestern customer Service,Just tried to buy a Best Western gift card. They held funds in my account but could not get a transaction thru. During the holidays why do they do this? then blame your credit card company","12/12/2015","1.0 star rating","880lNaJlmHvNXglQX30l8g","Larry B."
"Theft are out of control @ the LA Fitness in Matteson IL. and management hasn't addressed the concerns of over 250 member's signing a petition requesting a attendant full time in the locker rooms. There were 4 break-ins on black Friday 2015. They should have a chart with negative stars.","11/29/2015","1.0 star rating","RrarPiowdDHxV4hse8wMBA","Kevin L."
"donot work for handy.com!!! they are the worst company to work for no consideration for professionals no way to contact someone if there is a problem... the most ridiculous company ever!","11/27/2015","1.0 star rating","LGD0Q7KSxUG1VX7Gwi6qTQ","Danielle N."
"Very smug about a three hour wait-may be good but there are other places that really want your business.","10/14/2015","1.0 star rating","_JE0umUUZU9oloh8CcOwog","Gordon M."
"This review has been removed for violating our Terms of Service","9/20/2016","1.0 star rating","5ET6-ANcCJG4jG3XXO9cJw","Elly T."
"This review has been removed for violating our Terms of Service","7/13/2016","1.0 star rating","AYeXLnxyNtVpHtKl4nPpNA","Lynn B."
"This review has been removed for violating our Terms of Service","2/19/2016","1.0 star rating","6OlNwD5zbvs_0GxM-9MWxg","Grace G."
"This review has been removed for violating our Terms of Service","2/16/2016","1.0 star rating","6OlNwD5zbvs_0GxM-9MWxg","Grace G."
"This review has been removed for violating our Terms of Service","1/16/2016","1.0 star rating","kDZ_aA1s8eXCtrpl2FCckg","Maria K."
"This review has been removed for violating our Terms of Service","12/26/2015","1.0 star rating","jBIS1zWcm4EE95JLG8SyXg","Bernie H."
"This review has been removed for violating our Terms of Service","12/16/2015","1.0 star rating","8umFeEbAsJkvvw-92zRDzA","Joe B."
"This review has been removed for violating our Terms of Service","11/10/2015","1.0 star rating","y9ZhY9dlLvQ9GPFcLD-ZUw","B B."
"This review has been removed for violating our Terms of Service","11/5/2015","1.0 star rating","JcAMDWO_27jvukqpOet2YQ","Brittany S."
"This review has been removed for violating our Terms of Service","7/9/2015","1.0 star rating","oWHIWWHSwPx31YpikDks4w","Dolly A."
"Seriously not a place you wanna be at. Please try sometime else before trying this.","9/29/2015","1.0 star rating","4EJ5ReubzEAAL-17guKvVA","Aftab M."
"I'm still trying to figure out who my server is. They all have a bad attitude, anyways.Drinks took forever and food was not good at all. Don't waste your time coming here. There are plenty of great options in Chicago.","8/30/2015","1.0 star rating","6QL-gb6jmveSiaFn1QJD3A","Bruno M."
"While the presentation of the dishes is unique, the flavors are unconventional and strange. Overall, we were not impressed with the menu items.","7/8/2015","1.0 star rating","-RVGDZxDzPcEt-58eKRRSQ","Sarah M."
"Worse restaurant experience ever!","6/19/2015","1.0 star rating","FzOCQEdS3cxqIaaMI6Pxmw","Thaddeus W."
"We heard so many great things about the Purple Pig to include; sometimes there is an 1.5 hour wait. We were lucky and got a table immediately. We ordered 3 apps and we watched as the waiter wrote them down. We only ever received 2 of the apps. Then we ordered an entree to share and kept waiting but it never came. Finally we asked for our bill as we realized no entree was going to come. Long story short we left there and went to the Capital Grille. Excellent always consistent dining at the Grille. In my opinion I predict the Purple Pig will be a quick hit popular restaurant and will quickly lose its appeal as diners realize the staff is not about the customer or dining experience. Upon bringing to the waiter's attention we did not get all of our order/food his only response was ""oh sorry"", then quickly walked away. ""Oh sorry?"" I'm sorry too. I'm sorry he did not care more about his job and the overall success of the restaurant that employs him. As we sat at the Capital Grille still steaming of the overall horrible experience, 3 separate individuals said they have either had the same experience at the Purple Pig and will not return or they have heard other people experiencing the same thing. I stress to management to get ahold of the business while business is good before it is too late and you lose it","4/27/2015","1.0 star rating","iwd9iX-6o3j-didcYAhM-w","Rich A."
"The service was too back. I will never come again. I can give three stars to the food, but minus points for the service.","3/19/2015","1.0 star rating","3sliVKIEvsidOtOVLa6QTg","Mingjia L."
