"real_review","real_review_date","real_review_rating","real_user_id","real_user_name "
"This review is all about the food.  The food here is possibly the blandest I've ever tasted.  I'm not sure what went wrong in the kitchen, but I'm hoping the cooks were on vacation and valets were in the kitchen.  I honestly don't know how you f&*&( Italian food so bad. I've never left a bad review for a restaurant or product in my life until now.  So believe me when I say -- try somewhere else.  Also, who are these people pouring 5 star reviews on this place? Really sad for them.","2/17/2017","1.0 star rating","v_3Z0xwm48lNvi7R5uqUsA","Gerry H."
"Our group of 5 dined here last night and all left extremely disappointed! The restaurant was packed and very loud as it was a Saturday night. This was to be expected in Chicago in the summer. The food was fair to bad. We ordered 9 different small plates and each was lacking in flavor and prepared poorly by Chicago restaurant standards. We ordered Burrata, Caprese Salad, Gnocchi, Broccoli Rabe, Octopus, Shrimp Risotto, Calamari, Tuscan Kale salad and the Cavetelli. The cheeses were all very bland and tasteless, the seafood chewy, and the pastas gummy. We have been waiting to try this restaurant for months as it is consistently crowded and well reviewed. We left thinking we will never go back and wondering why it is so popular. Go to RPM Italian or Eataly nearby and get MUCH better Italian food. Even Maggiano's is better!","9/4/2016","1.0 star rating","MHTassewXbjcjpWsl_z6QA","Charlotte R."
"My family had gotten here and had to wait an hour for a 20 minute wait. Book reservations if you stay or else you are going to starve. The service was average and so was the food. I do not recommend this restaurant to anybody who is very hungry, but if you are able to wait half an hour to a n hour, this is a mediocre place to eat.","12/18/2015","1.0 star rating","vaRW2cD-fy6J2UdIYUewtg","Jordan J."
"This experience deserves a zero. First of all our main meal was brought out before our starters and had to send it back which they put on hold. About an hour later after we were forgotten about they brought our pasta with meat sauce and it tasted like bad bland leftovers. Once two tables of bridal shower guests arrived we were completely ignored. Will never go back, worst experience ever!","8/9/2015","1.0 star rating","Di_VdyjkzxumIDtTcbZGjg","Carol D."
"I had dined at Quartino and  the food has high cholesterol and calories..Price is ok...Since I work in an office setting with a big fat belly, Pizza will not help me out....As for parking, I got my car towed by the city pound...Yesterday, my pit bull died from eating too much lasagna...No more Italian food...","6/30/2015","1.0 star rating","TLleN0HkT331M2fuYoqaYg","Pete P."
"The drinks are expensive and the quality of food is pathetic. We ordered around 8 plates and half of them sucked. I wonder who are these people who have given them so many reviews. I hope they are not paid reviews. The location and the service is great though.","6/7/2015","1.0 star rating","IC6Xl98fG4TDMcREk0U-rg","Praveen V."
"I do not understand the 4 & 5 star reviews here. We had a large group in a private room upstairs for dinner and while the service was good, the food was fair at best.  The 2 pastas I tried were boring and flavorless.  The salmon tasted like olives and nothing else. The filet was fair. The chicken was ok but rather dry and boring. The bruschetta was not great...the bread wasn't even toasted. And the fondue that people rave about? It was awful. The biscotti was so hard it was impossible to break it into pieces to dip in the chocolate. The strawberries were horrible looking. The pears and apples were ok.  I would NOT recommend this place to anyone.","10/10/2014","1.0 star rating","D75msiC3eadctJy8XHBEcw","Carolyn S."
"loud and nasty.  The food was bland, and the atmosphere was chaotic.  The waiter could barely hear us to take our order.","7/16/2013","1.0 star rating","D4nZwSB65aGhEjenaOjESA","Paul H."
"the food gave me food poisoning, the pizza is all oil and disgusting, the salad is like i make at home, the hosts have piercing in nose, not professional at all, i had to wait for my table for one hour, the meat made me throw up, the only good thing good there is fast service and good water, also i was waiting to pay and i had to find the server, I'm never coming back again, i rather eat at McDonald's,","4/15/2013","1.0 star rating","IiJYbUOfT7OSEi_8Bk_5kA","John M."
"not good!","3/31/2011","1.0 star rating","KfZisjVrixHVWwYd8RHyjQ","Big G."
"This review has been removed for violating our Terms of Service","3/23/2011","1.0 star rating","KfZisjVrixHVWwYd8RHyjQ","Big G."
"This review has been removed for violating our Terms of Service","8/7/2010","1.0 star rating","KfZisjVrixHVWwYd8RHyjQ","Big G."
"This review has been removed for violating our Terms of Service","7/29/2012","2.0 star rating","IuSQZz72rGsVF9B1y_tBMw","Adriane C."
"This review has been removed for violating our Terms of Service","3/31/2012","3.0 star rating","Rim4Lc3AKkqGs1eRk82jxg","Mel L."
"This review has been removed for violating our Terms of Service","4/7/2011","3.0 star rating","MxJNXqanI2do0BOdvIVBZA","Nick H."
"This review has been removed for violating our Terms of Service","9/14/2009","3.0 star rating","bSK2OG3jXdIEzyUv-wqbKw","AMG S."
"This review has been removed for violating our Terms of Service","7/2/2008","3.0 star rating","1LeteUCUZ23vSvrSY0d3Ig","Jane S."
"This review has been removed for violating our Terms of Service","11/17/2016","4.0 star rating","Mpu9_tiX9EauZyuNESs9QQ","Edi U."
"This review has been removed for violating our Terms of Service","11/26/2014","4.0 star rating","yVnX4TzFGFtnI3AvcIctzQ","Van J."
"This review has been removed for violating our Terms of Service","7/21/2014","4.0 star rating","9Im0Ov0Jw96StDdQife8rA","Jimmy J."
"Saturday night... Jan 8.... Out for a friends birthday.... We are local guys.... Have to wait for every girl at the bar to get served before a bartender will even look at you.... And once they do, a super weak drink for a too high price.... Also 45 minute wait for a reservation past time..... Great place if you want a pretentious bar staff","1/8/2011","1.0 star rating","V5whGidGA1BS30VZT-EkLw","Sam t."
"I just ate here tonight and the food tasted good going down.  But I got sick and so did my husband.","8/30/2010","1.0 star rating","pTyeOW_9ls28v_n2fvwBRw","Jessie M."
"This is not a place to go if you have a large group.  We had a reservation for 15.  We arrived and waited an hour past our reservation time to be seated.  (It was a Wednesday night.)  They told us everyone in our party had to be present, and would not seat us, despite having a large enough table open.  It would have been easy to take a smaller table away if everyone did not show up (and they could have sold quite a bit of food and alcohol to the table in that time).  The food at Quartino is good, stay away if you're more than 4 people.","7/8/2009","1.0 star rating","Jjl5ckgY6cT9w7UqAOXs7g","Jeremy P."
"The service was terrible. We had reserved a table for 8 and when we showed up there was 6 of us (2 were running late). They didn't explain to us that we had to wait for all of our party to be present to be seated, so the table wasn't large enough and then they told us there would be a half an hour wait (making it 45 minutes after the reservation we made).  None of us had dined here before and our waitress (who looked very sloppy) explained to us that everything was meant to be a sharing plate, we must have misunderstood her, and some of us shared just one entree. But the plates were very small and we ended up with a lot less food then we wanted. The food wasn't great either. The spinach pizza was just a pile of spinach with a flavorless sauce on top of flatbread. The lamb was $17 with no sides, and was equally flavorless.","3/1/2009","1.0 star rating","_dyAA4-JzbIOBjesk5KmbA","Lauren W."
"Mushy bland risotto and over cooked pasta.  Disappointing after reading the positive reviews.  Even the bread was boring. There is nothing thoughtful about the food although the wait staff is very attentive. The prices are easy on the wallet if you want to eat mediocre Italian food.","3/25/2017","2.0 star rating","mIYUYjBIZ7-5bzjXPcLw6g","M V."
