"fake_review","fake_review_date","fake_review_rating","fake_user_id","fake_user_name "
"Interested in spies, missions and food? This place is perfect for you. With exceptional burgers and an entertaining atmosphere, you are sure to have a great time at The SafeHouse Chicago. Amazing experience. Magician at the bar, awesome atmosphere, and also very good food. Perfect combo.","4/16/2017","4.0 star rating","XveYkAo5457-ER1Hn7gw6w","Juanita R."
"I've never had a terrible experience with SafeHouse Chicago. This is my most loved area. I had one of the best dinners of my whole life here. We requested 6 distinct things from the menu to test an assortment of things. Staff is exceptionally knowledgeable about the wines they offer. They have given me some incredible suggestions in view of my depictions. The nourishment, administration, quality and amount are above what we at any point anticipated! Anticipating returning ASAP!","4/5/2017","4.0 star rating","8z12sBk5YDWoGJ7FYBdydw","Stephanie G."
"Sunday I decided to check out hot and new on Yelp. Safehouse caught my eye, was looking for bar food. I do not read reviews on new places cause half of them are fake. Saw no sign outside, just nice lettering saying 60 E Ontario. When I got there a young lady was in an office. Not going to say anymore about that. Food was very good, had the MOAB and onion rings. Side of cheese curds wow, recommended it to all my customers at my place of business. Great place for kids.","3/30/2017","4.0 star rating","u4lgnTEvJwKUz08IaKIeDw","Sal E."
"When we arrived the restaurant is full and was extremely busy and had to wait outside along with others however it was worth the weight. The burger was cooked to perfection and rosemary seasoned fries are brilliant.","3/29/2017","4.0 star rating","xpzyRnaikQ0RFLVniM-Y5g","William G. M."
"Got to visit this place recently and it is great! I thought it was a very unique and interactive restaurant. I enjoyed the drinks and ordered their steak along with a plate of nachos. I love how it's an underground spy themed location, especially when entering the restaurant and you have to either provide the secret password or have to do a small comical challenge. I noticed that one of the previous reviewers complained about not going to safehouse to play games, which is too bad because he should have either had a sense of humor or done his research on Safehouse. The young lady in the entrance did great with sticking to her character and got a good laugh out of my group and I.The hostess was very helpful and she remained patient with my group and I, despite a slight miscommunication on our behalf. The wait time wasn't too bad. Once we were seated, our waiter took our order and provided great service the rest of the time.My only complaint would be the wait time for food. My group and I waited about 40 minutes before being served our food. I do believe, however, the food was worth the wait.Overall, I enjoyed this place and will be coming back in the future. If you have a sense of humor and want an interactive experience that's more than your average restaurant/bar, I recommend Safehouse.","3/20/2017","4.0 star rating","SJl-gWG0zLiYH9aaM2SqUA","Vick M."
"We had a great time at The  Safehouse. We were very surprised to find out it has only been open for about 2 1/2 wks.  Our agent, Iron Mermaiden was great. She played the part very well, and kept us focused on our mission. Cool and unique dining experience.Mission accomplished,Agent Rockstar9 & Agent Baby Longneck","3/18/2017","4.0 star rating","TCjGqyuuzed94PbLb0ZDyA","Cathi A."
"My friends and I had a blast here the other day. We ordered about six appetizers and everything was great. We loved the experience and our waiter K Boom was awesome! He was enthusiastic and very into the spy theme.","3/12/2017","4.0 star rating","SFHIeyh2cCR1NGvPkmDLng","Marisa C."
"Amazing experience!!! I went here because yelp said it was new and hot.  Little did I know I'd be on a secret mission.  This bar is extremely well thought out with a natural camradery among all the fellow agents.","4/28/2017","5.0 star rating","Qu94ctVTuuElmaKnbOkZeA","Tony W."
"My wife and I loved this place. The atmosphere is very cool, especially the entrance and exit, which are awesome. The food is excellent too.","4/25/2017","5.0 star rating","ITtMN1i35H36oXsDEiB_Eg","Lee C."
"This was one of the most unique dining experiences I've ever had. From discovering the entranceway to the great service and delicious food, it was a fantastic time. I wholly recommend this place for everyone, kids and adults alike. If you enjoy a thematic dining experience, go here... you won't be disappointed.","4/25/2017","5.0 star rating","Z5SR6CfQZ5766yN8Q3oPuQ","Jeffrey P."
