"real_review","real_review_date","real_review_rating","real_user_link","real_user_name"
"This bar held a Yelp event. Unfortunately I missed the Yelp event but got word from other Yelpers about how cool this place was so I grabbed a bunch of friends to check this place out with me.  First things first--there are no signs for Safehouse.  Look for the red door and the 60 E Ontario address right above the door. Next, give the lady the password. If you don't know it, do whatever she tells you to do to get access to the bar. Its a fun time and worth it for admission!I won't give you too many details because I don't want to spoil the fun, but there is a mission list if you choose to explore the bar. I highly recommend that you do.  Walking around will also help to uncover the password. My friends and I were able to find the password =)Service was definitely on point. Our only complaint was that we came for happy hour and ordered off the happy hour menu, but because we didn't tell our server that we wanted the happy hour portion and not the regular portion, we were automatically served and charged regular menu portion and prices.  What should have been a $6 happy hour nacho dish turned out to be a $17 regular nacho dish. On the plus side, our server was able to give us a 10% off for the misunderstanding and also allowed us to have separate checks to pay the bill.I was able to guess where the secret exit was and my friends and I had fun going through it. You can pay the $1 exit fee with cash or credit card. There's two sets of instructions on what to do so make sure to follow the instructions on the bigger sign to the left.This is definitely a unique experience. As a person who loves mystery and spy stuff, I really had a fun time here.  I'm looking forward to my next visit (hopefully next time using the password we found).","4/22/2017","5.0 star rating","https://www.yelp.com/user_details?userid=d67zTET_2IuVoWcUU0aWaQ","Janet E."
"I REALLY wanted to love this place! I read reviews about how amazing everyone was and how they stayed in character. For us, they did not. Okay, so when you first go in if you don't know the password you have to do something silly and they'll let you in. We had to hop around like bunnies. Then we had to also pay $5 each. We go inside and just stand at the hostess stand and have no idea what to do next. There were people just standing there and we were just awkwardly starting. I finally grabbed a menu and a girl finally turns and says she will seat us and the guy next to her says ""oh, I can help them! I'm just jumping around not doing anything"". Gee thanks. So he seats us. It takes forever for the waitress to come over and we can't even hear her. We order and they give you a little sheet of missions to do while waiting for your food. One of ours was to see the magic bartender. We go over to the bar and he breaks character and says ""I don't have time for that right now! I have too many drinks to make"". What the fuck. Ok, so we say forget it and go back to our seats. Food is very expensive. You can figure out the password by solving a clue. The other annoying thing is that if you want to leave and use the spy exit you have to pay $1. It's fun to go to once and experience it but never again.","4/23/2017","3.0 star rating","https://www.yelp.com/user_details?userid=0Cv4DicgKO43Mz_WZGLOgA","Erika V."
"Omg!!!!!! This place was AMAZING!!!! I didn't even realize about the spy theme! The entrance is hidden so you need to look it up by the address. Then you walk into a fake office and either need to know the password and praise or need to do something silly to get in and prove you're not a double agent.We needed to do the conga line to get in. Then we walked down some stairs passed some fake heat sensors identifying us as non-double agents. Once inside,  everyone applauded us for getting in. Then we were seated.We then pick a secret agent name. Order your meal and can do a sort of scavenger hunt/mission while we waited for your meal. Food actually was not bad. The ambience was excellent. It was a lot of fun. Is a good place for groups and or kids. Highly recommend!","4/20/2017","5.0 star rating","https://www.yelp.com/user_details?userid=fBULx2CoymGEKTgNixEjbQ","Jeanette F."
"I came here for an event and tried a sampling of their food and drinks. Here are the hits and misses:Hits:The Spy Theme! How fun! It's hard to describe, but if you come with an open mind, and have enough drinks in you, this place will be a blast! Take time to explore!! There are surprises hidden in every nook and crannies.Fried Cheese Curds. YUM! This is full of fried-goodness!Spy's Demise Cocktail: Sweet, refreshing, incredibly delicious, and super easy to drink, so be careful. It can knock you out before you know it!Cold War Cocktail: If you love sweets like I do, then this concoction of coffee, white chocolate and whip cream is for you! It's my favorite drink of the night and I somehow guzzled 2 glasses without realizing it. Misses:Those tacos are on the wrong side of blah.The Spy-See Cocktail:. I love spicy stuff so this jalapeno-infused drink caught my eye. I've had other spicy cocktails before and they were amazing, but in this one, the flavors didn't blend well together.  Disappointing.Steak Salad: the dressing was good, but the rest of the dish was just average.Bottom Line, would I come back? Absolutely! It was a blast walking around checking out the place. Plus, I need to try the rest of the food and cocktail menu.","4/12/2017","4.0 star rating","https://www.yelp.com/user_details?userid=te3wHLNIO2Wv8v2nM_hjvA","Pham D."
"Long has been the day since Chicago has seen a highly thematic and fully interactive restaurant that's a blast for adults and kids. Safehouse is the new beginning from the dusty tumble weeds of Ed Dabevicks & Planet Hollywood. Finally! I can thoroughly disclose a plethora of details about the multi facetted decor but it's better left unsaid. I can advise to try to complete the mission given upon arrival and to explore every nook and cranny in the Safehouse. Bathrooms are exceptionally entertaining and if you're lucky find the full time magician. He's spectacular. Having attended a Yelp event we were served burger, pulled pork, and chicken sliders. Loaded nachos, amazing cheese curds, ahi tuna salad with bites of ramen, and cesar salad. All delicious. Fun drinks included the Cold War, coffee based with whipped cream, Spy's Demise - rum based, Man with a Copper Cup - a Moscow Mule, and Agent Chi- a syringe full of cherry grenadine, to name a few. If you choose to take the secret alternate exit, we'll, let's just say I hope you have some flexibility! You'll leave wanting to bring your friends visiting from out of town and to celebrate a birthday. A really cool spot all around.","4/1/2017","5.0 star rating","https://www.yelp.com/user_details?userid=6av0qSdZlDG6rapm3zH_sg","Michelle T."
"This place is AMAZING. First of all the spy theme - can it get cooler than that?! From the moment you walk in you are completely transported into the Safehouse Spy world. The interior is incredibly detailed with cameras, fun spy gadgets, screens, etc. You really do get a sense that you've stepped into a control center. The drinks or ""beverage briefing"" were so cute as well and fit in perfectly with the theme of the restaurant. The food was your normal restaurant food and it was delicious but I definitely think this is a must be place if not for the environment and experience alone. ‍","4/4/2017","5.0 star rating","https://www.yelp.com/user_details?userid=UBcycBvac-YqLFtNNvRxkA","Chelsia L."
"I needed to check this place out since the concept is intriguing and I was bummed that I couldn't make it to the elite event. The day I wanted to go just happened to be the day after their official public grand opening. Thinking it would get quite busy on a Friday night, I made sure to come right after work to beat the crowd. It wasn't hard to find the place, just look for the red door. There were probably 10 people in line outside since everyone has to be ""processed"" before entering. Don't worry, the line moves quickly! This place is surprisingly large and can hold a lot of people. The decor is pretty interesting and there's a lot of things to look at and explore. Our waitress encouraged us to check the place out while we waited for our food and she offered to come find us when it was ready. She also gave us metal ring puzzles to solve and gave us 5 minutes to unlink them all. They brought us our entrees a couple minutes later and I quickly yelled out to my bf, ""Don't stop now! We've got 2 more minutes! We can do it!"" We were rewarded with stickers for our achievements and determination. I felt accomplished. :) Boy, this menu is full of long descriptions! The Fried C4 Cheese curds were very good, but a bit oily at the bottom of the dish. The bf had the Licensed to Kill Cheese Macaroni which I thought was pretty spicy. But I didn't hear any complaints from him. I had the Cuban Missile Crisis with fries. The sandwich was okay, the bread was a little too oily again. The menu description didn't mention any cheese on the sandwich, so I made sure to ask for swiss on mine (I'll be damned if I don't have cheese on my cubano!). The fries looked and tasted mediocre.There were a couple of drawbacks, in my opinion. I didn't realize this place was super family friendly. It takes away from the ambiance when there are kids running around and sliding on the booth seats looking for clues. After checking out SafeHouse's website when I got back home, I read that after 8pm it's 21 and over only. So if you are looking for an evening out sans kids, come after 8pm. Also, the menu items are pretty pricey. The mac and cheese was $18! But I guess that's just River North prices, for ya.Overall, this place was interesting. Don't forget to check out the fun photo booth. You can send the pics to yourself for free via email or text. And the secret exit is kind of neat. I probably won't be back since it felt like a tourist spot to me, but it's worth a visit.","4/3/2017","3.0 star rating","https://www.yelp.com/user_details?userid=QKAR6h9wcx2M4xs9AJCUyQ","Shari B."
"In the mist of great 4/5 star reviews, there is just a small pool of those that did not have the same experience which includes me. I would give it more of a 3.5 rating if I could.I have visited this restaurant previously for a Yelp event and enjoyed myself very much enough to want to show my partner. We arrived to the interrogation room and provided the password so we were let in quickly. (I absolutely love the gentleman that was being the host there because he was in full character. Props to you and your wonderful mustache!)We entered and was told that there would be a wait for a table so we decided to sit at the bar instead. Greeted by the bartenders, they provided our name tags and menus for drinks and food. Wonderful! So far, lovely visit but this is when things weren't so great.Being at the bar, I would think that service would be above average only because well we were no more than two feet apart face to face. (We had three bartenders waiting us) He ordered a beer, Revolution Seasonal. We pretty much sat there for ten minutes or so before we were acknowledge about ordering food. We decided on cheese curds. When the cheese curds came out, the gentleman mention ""Oh, I'll come back to give you napkins."" He never came back... We were wiping our greasy fingers on the little napkins given when we ordered drinks. We finished the cheese curds which was taken away. No acknowledgement at all after that. They didn't ask if we wanted to order anything else. I actually had to that awkward half raised up hand like I was in elementary school to wave down the bartender to order our burgers. To remind you, we are sitting at the bar. My partner wanted to see what the 'code beer' they provided. So, he lean forward and tried to ask him about the beer but the bartender just walked by him not noticing. I don't know if he had an off day or something. At this point, my partner glass was half full and said to me ""I'll just finish this beer then they will ask me if I want another."" That was what happened. Our burgers finally came out on these wood platters and they were absolutely delicious. We finished our meals which were taken away. At this point, we had empty glasses. No refills at all. No action was taken here so we asked for the check and while they were taking care of that, our waters were finally refilled. Cheese curds and MOAB was flavorful and dielicious.I would say they were must have's when visiting this placeI REALLY want to love this place. I do. The service just wasn't great for me. I felt ignored. I had to wave the bartender to order food. I never got napkins with my appetizer. Water was filled till we asked for the check. I can tell the bartenders were 'burnt out' from the spy themePossibly service is better when sitting at an actually table? That would be my suggestion.","4/2/2017","3.0 star rating","https://www.yelp.com/user_details?userid=VAaihmzd_xPf4-GFzfxZ-Q","Kim N."
"I came here for a Yelp event and I am so glad that I did.  The staff was so nice and attentive which was great.  They actually made us all feel comfortable in the space and I loved there undercover names which made me laugh and smile. The food was so good that I didnt think about taking a picture until my food was gone...dang it lol! I say if you get a chance to go to the SAFEHOUSE dont pass it up because it is a great adventure in food and fun.  Im going to go back with some friends and family to enjoy the experience again. The only issue that I had was my phone didnt work even with there password and I cant tell you what it is because I wouldn't be a good agent if I did...smile!!! I think it was my carrier because it didn't seem others had the same problem. I say if you get a chance go and I dont think you will be disappointed.Enjoy!!!","3/30/2017","5.0 star rating","https://www.yelp.com/user_details?userid=bjZL2-Kie880YnGPc7fqow","La Tonya G."
"This is a really fun venue, definitely the best over-the-top themed restaurant I've been to. There's lots to explore, including how to get in and how to get out. To avoid spoliers I'll just say that the entrance is indeed the door at 60 E Ontario, and let you discover the rest for yourselves.The food here is surprisingly good. We started with some pretzels, which I probably wouldn't order again, since they weren't cooked enough for my taste, but we liked everything else.The grilled cheese sandwich was nicely browned and very generously stuffed, the spy burger was good, the fries were thin and crispy, and the ahi tuna salad was a good lighter choice, particularly if you like pea pods, as it was full of them.Service was friendly, and the servers do a good job of staying in character without being overly serious about it.Highly recommended for families or a fun night out. It was pleasantly navigable on a rainy Sunday afternoon. That's important, because you're going to want to explore the whole place. On the other hand, there might be magic at the bar at night...","3/26/2017","5.0 star rating","https://www.yelp.com/user_details?userid=uEQ3nCdOBNOeJ0ow4Ds1vA","Steve A."
