"real_review","real_review_date","real_review_rating","real_user_link","real_user_name"
"as small cheval is to au cheval, pqm is to publican, little goat is to girl & goat...SideDoor is to Lawrys.if you are in this area, do not pass this place up.  it's a hidden gem tucked inside of the infamous Lawry's Prime Rib.you can get the rib for under $20, Lamb chops, pot pie, the wedge salad, caesar of course, and what i got for a mere $4...PRIME RIB CHILI.  Lawry's prime rib.i had to get a bowl to go.  i also chowed the brussels sprout salad with some amazing jumbo shrimp.  & brought home half.the dessert menu was filled with vintage delights including the famous lawry's belgian chocolate chest.this place is definitely special.  it's hard to beat in this area.  huge thumbs up.","4/25/2017","5.0 star rating","https://www.yelp.com/user_details?userid=c7kWoBwo1UV-pOjszq7Cpg","Lisa H."
"Came here on a Friday night and was left with nothing but great food and great service. I had planned an engagement dinner for a friend and they were able to accommodate 9 people comfortably and the server John was exceptional. He was very attentive and made suggestions on the menu which all came out amazing. Food wise: The Thai curry wings were amazing with a fine peanut butter spread to top it off. The prime rib was very juicy and full of flavor.All in all awesome place to grab a bite with friends or just come for a quick lunch. If you can recommend a server definitely ask for John. Thanks Side door","4/21/2017","5.0 star rating","https://www.yelp.com/user_details?userid=KHmrxlHDQjw2uTeCUMUk9Q","Anthony M."
"Disappointed with this place. I saw it on here and thought the pictures looked great. It's name is perfect. You go in the little side door to the prime rib place attached. It has all the hallmarks of a great place in the beginning. Low ceiling, darkish lighting, small bar area with lots of wood. Sets up for a nice atmosphere. I just couldn't bring myself to order anything in particular from the menu. I tried the avocado mash with pita chips which was basically guacamole with a pretentious name. I love a good bourbon and they had a good selection but you couldn't get a good glass on the rocks for less than 14. It was definitely overpriced. 500 yard away I can get the same bourbon, still have great food and atmosphere for a much better price. I thought about giving it the benefit of the doubt but at $19 for a main when there isn't anything you really like the look of, hard to justify. Two stars for atmosphere but you lose the rest of them with the prices.","3/31/2017","2.0 star rating","https://www.yelp.com/user_details?userid=d5mW5pBRvnl8uCDgpKC8Sw","Mike T."
"Side door is literally a side door into the Lawry's bar and lounge/ causal dining room. They have their own host to seat you and wait staff ready to serve you. It's totally causal, the wait staff are dressed in t-shirt and causal pants to show the difference between them and Lawry's restaurant. A causal side to Lawry's with a moderate price point for the ones wanting a little bit of Lawry's without having get prime rib.We had a great time chillin at Side door and celebrating a good friend's birthday. We ordered drinks and some burgers. I had the "" side door cheese burger"" and my husband had their prime rib burger that comes with some house made chips. We also order side of white truffle fries it was really good. I love shoe","4/23/2017","4.0 star rating","https://www.yelp.com/user_details?userid=BAo6ZQsIk9tpHn_Qi260DQ","Jaci Y."
"Very cool entrance... side door to a prominent steak house!  Great beer selection!!  I thought the Solemn Oath Brewery's Punk Rock For Rich Kids Belgium beer was perhaps one of the best I have ever tasted!!  Bartender was attentive and entertaining.  I had a wedge blue cheese salad that did not disappoint! Defiantly recommend checking out this cool establishment!","3/26/2017","4.0 star rating","https://www.yelp.com/user_details?userid=Im98aDMA0ddgo6AeRKOIdQ","Todd L."
"Nice little casual spot in the heart of River North. It's a little pricey yea but it's the area. I tried some of the steak which was really good, and then 2 cocktails and a beer that I liked. They had a good craft beer list, had one that I hadn't had before. And the cocktails I had tasted good and weren't too strong. It's attached to Lawry's if I am not mistaken.","4/4/2017","4.0 star rating","https://www.yelp.com/user_details?userid=z6q3atk8AMY5mzuoHg8tGw","Daniel S."
"Overall good food but our abrasive waiter ruined the experience for us. Probably won't be back anytime soon. Kind of a bummer I'm rating it so low, as previous visits in the past were definitely four star worthy. Anyways, Sidedoor is a classy feeling gastropub serving up premium meats from Lawry's and an awesome selection of really limited beers on taps. For food this last visit, we started with Lobster Bruschetta ~ tomatoes, garlic oil, grilled Ciabatta, I did the Rib House Sandwich ~ caramelized onions, tarragon aioli, and for the fiancée the Fork and Knife Pastrami Sandwich ~ house made pastrami, rarebit, house made giardiniera, pretzel roll. The food was great and flavors were excellent. Service... It all started when our waiter took our order. My fiancée was simply asking if it was possible to sub out the side of chips for a side salad or something else, but was met with a very rude ""EVERYTHING IS A LA CARTE"" as an answer. Umm, okay cool dude. He never bothered to check up on us, and what really rubbed me the wrong way was when he asked the table next to us if they cared for a dessert menu then came by our table and tossed us the bill as we barely finished up. Rude.'Til next time.","11/25/2016","1.0 star rating","https://www.yelp.com/user_details?userid=lZx_XOuL5wACxaNtby4JEA","Francis R."
"I don't know what I did to evoke such a rude demeanor from the blond waiter working this past Saturday night, but man oh man was I taken back by his attitude!My fiance and I dropped in around 7pm on Saturday night. Sidedoor was busy. No surprise given the Magnificent Mile Lights Festival going on.We sat down and the waiter came by and took our order. I was in the process of ordering a sandwich when I thought to ask the guy ""is there anything I can sub out for the side? It comes with chips, right?"" To which he answered ""Yeah. Chips."" So I asked him, ""is there anything I can sub out on the side, like a side salad or something?"" He scowled. ""You could order a salad. Everything here is a la carte."" ..seriously? I've been to restaurants where they haven't allowed substitutions and really, it's not a big deal. But this guy was just snarky. I brushed it off.We had sat down around the same time as another couple next to us, with the same waiter waiting on that table. I hear him fawning over them ""Oh, do you want a dessert? We make our key lime pie in house! It's soooo good!!"" We were just finishing up our entrees, and was expecting him to at least offer a dessert menu, but nope - as he was fawning over the table next to us, he doesn't even make eye contact, and throws a bill on our table - doesn't say a word and walks away.It was so bizarre and odd.","11/21/2016Updatedreview","1.0 star rating","https://www.yelp.com/user_details?userid=onY0SO_5Zl0IjO6R4-SVrQ","Jean L."
"Atmosphere over-lit and awkwardly arrayed.Ultimately no there there. Expensive food options and lack of cohesion undermined the experience.Felt like a waiting room that someone had stuck a few tables in.","4/24/2017","2.0 star rating","https://www.yelp.com/user_details?userid=cxLNrZn6treUIMNR1w3kDw","Per U."
"I love the side door . It is like a causal Lawrys . The menu is fun and they change it from time to time which is always a fun surprise . The food is delicious and I like the drinks they have . It's a nice , cute restaurant very quaint and intimate . The service was really great as well . The side door is a great place to dine at while downtown . It's a nice place to stop in !","4/24/2017","5.0 star rating","https://www.yelp.com/user_details?userid=22XIYNOE-zeOKh36xXtcFQ","Melissa F."
"Stopped in for lunch. Scott is a great waiter!! Was waiting for all tables seated and kept up with all of us. Food was delicious, even down to the coleslaw!! Portions are generous. Open viewing of your food being prepared!","4/22/2017","5.0 star rating","https://www.yelp.com/user_details?userid=-vrkCEYJJwuoZCCeuf2Zzg","Sara B."
"I love this place. They have the best cocktails made by professional and courteous staff. I especially like Dylan. He is friendly, knowledgeable and professional. He is a definite asset to Side Door!","4/20/2017","5.0 star rating","https://www.yelp.com/user_details?userid=aJ4mvIrHmJ_tOLvdW2wPJw","Christine K."
"Was really looking forward to trying this place based on all the reviews but was somewhat disappointed by the food. We ordered the prime rib sandwich which was good but the pastrami sandwich was unbelievably salty and inedible.","4/20/2017","2.0 star rating","https://www.yelp.com/user_details?userid=4Jz2zP44aFBKO_FZw9hbjQ","Vu H."
"Great place for drinks and small plates just off the hustle and bustle of Michigan Ave. We came here as we just got to town for drinks and appetizers. Great beer, wine, and cocktail selection. The avocado smash might be glorified guacamole but it's very good as well as the corn fritters and IPA pretzels.","4/11/2017","4.0 star rating","https://www.yelp.com/user_details?userid=YKmm-ayPf0Zx3XQEwRYE_Q","Sean W."
"It was quiet and pleasant on a Tuesday afternoon. Cocktails were absolutely awesome. Food looks good- we came just for cocktails. Great service too and the inside is unusual. I would definitely return.","4/18/2017","4.0 star rating","https://www.yelp.com/user_details?userid=nYXjXuFswfovytDQCcxN4A","R N."
"Here are my ratings!EXPECTATIONS: Kind of small place. Great selection of beer, liquor, and cocktails! Awesome service before stepped a food in this place! SERVICE: 5CLEANLINESS: 5QUALITY OF FOOD: n/aQUALITY OF DRINKS: 5AMBIANCE: Casual/Upscale, the quality of drinks are worth the price but don't think you can come in here with 20 bucks for drinks! Dim lighting, dark wood, it has a soft feel!OVERALL: Overall, awesome service! Great drinks! Unfortunately, we couldn't stay longer because we had a dinner reservation to catch but our server Elliot, I believe, was fantastic! Great conversationalist! TIP: Try their cocktails!","7/19/2016","5.0 star rating","https://www.yelp.com/user_details?userid=geu5T-CREB8NpPGAIOXx8g","Joe R."
"Great experience at Side Door! We were anticipating coming in with a larger group of 8. We called in advance, and they noted that they do not take reservations but that there was a minimal wait. When we arrived 30 minutes later, they had a table prepared for us! We started with drinks, and there was a decent and unique beer selection. A few of the group ordered the carving boards. The portions were small and came with a few toppings that did not substantiate being called sides. They all noted that the boards were delicious and would order them again. I had the wedge salad and corn chowder, both of which were delicious. Both the lobster mac 'n cheese and shepherd's pie were devoured by those who ordered them. The only miss of the night was the ribs, which my mom thought were chewy and fatty. Overall would highly recommend!","3/25/2017","5.0 star rating","https://www.yelp.com/user_details?userid=NRJ-VuMXvrlY15MkqhZ6Vg","Alex B."
"I grew up in Los Angeles in the 1960s, so I have fond memories of the original Lawry's and CC Browns Ice Cream Parlor. But I'm rarely in the mood for a complete prime rib dinner, so I was interested in trying the Side Door, since it is essentially the bar for Lawry's Chicago.Side Door bills themselves as a gastropub, but to me that implies more eclectic and gourmet food than you'll find here. This is basically bar food, with an emphasis on hamburgers, sandwiches, and some large salads.Of course, the most popular item--and the one I tried--is the prime rib sandwich. It was served on the kind of roll you'd get with a French Dip, and with the same au jus, so it was essentially a Prime Rib French Dip, and a good one at that. The prime rib was perfectly medium rare, very tender, and expertly trimmed.Since the sandwich contains 7 ounces of prime rib it seems a far better deal than their meat plates, which cost the same but contain a mere 4 ounces of meat.I also tried the curried cauliflower which was good, if a bit dry.There's a substantial selection of beers with an emphasis on stouts--a list after my own heart!The space is divided into two rooms, one a bit too brightly lit, where the meat is prepared, and the other with the typical bar TVs.Service was extremely gracious and attentive.","6/7/2016","4.0 star rating","https://www.yelp.com/user_details?userid=uEQ3nCdOBNOeJ0ow4Ds1vA","Steve A."
"Their Creekstone pastrami sandwich was very tasty! It was salty, but totally worth it. Try their lobster mac n cheese. You won't regret it!","4/3/2017","5.0 star rating","https://www.yelp.com/user_details?userid=N_O1R7c3Y9CqybVdKhffRQ","Razaa A."
"I would come back to this gorgeous space for cocktails, but probably not food. Three of us went out for cocktails and small bites. The food and cocktail menus change ever few weeks, so don't bother looking online beyond to get a feel for what they offer. Drinks wise, I went for an apple brandy concoction called The Big Apple and it was delicious. On the food front we ordered scalloped potatoes, Stilton Mac and Cheese, sticky toffee pudding and the ice cream sundae. None of it stood out, although the sundae was probably the best of the bunch. At these prices, I want more than mediocre food (potatoes were nearly flavorless, as was the mac if you didn't get the crumbles on top). Our waiter was a charming dude named J.P. who got a pretty good sense of our ordering rhythm after taking a bit long for one of our drinks. It was nearly empty on the weekday we went, and I would be willing to try the cocktails again if I needed a place to bring a larger group.","10/20/2016","3.0 star rating","https://www.yelp.com/user_details?userid=39ob3TUuT8AVi4Y_POIJnQ","Hannah C."
"This review is for a quick lunch- a very lovely quick lunch, indeed. I came to SideDoor for a meeting last week and was welcomed by a friendly server, seating me at a levitated table past the bar. This GORGEOUS space (same restaurant family as Lawry's, housed in the historic McCormick mansion along Michigan Avenue) has an ambiance for a comfortable yet classy lunch, with a straightforward menu featuring many enticing eats.I enjoyed the prime rib chili (amazing) and the most beautiful wedge salad I have ever seen. It was the perfect amount, and I even saved a bit of my salad for later in the afternoon.I hope to head to Lawry's soon for the famous table side prime rib dinner!","9/27/2016","4.0 star rating","https://www.yelp.com/user_details?userid=Q_8qAEFkzrzTVAJhLsxmBg","Kristin F."
"Friendly staff, big portions, great atmosphere. If you're going to get beer make sure you order the flight to try out.","4/2/2017","4.0 star rating","https://www.yelp.com/user_details?userid=k3GWtLW0cdjrjfwalLaZKA","Keianne S."
"We had dinner  tonight at Side Door. I was pleased with our service. Sadly there was one waiter for the entire dining room. Granted it's not a big place, but another person would have been helpful.  Our waiter did the best he could under the circumstances. He even kept refilling our water long after the bill was paid.  That was the good part of our visit. The bad was the food. I had corn chowder.  It was barely warm. My entree was a pastrami sandwich. It was also cool and really greasy. I have never eaten at Lawrys and assumed this food was comparable. I was wrong. The other folks at my table weren't overly impressed with their food either. There are too many good places in the area for dinner. Sadly this is not one I will return to in the future.","1/17/2017","2.0 star rating","https://www.yelp.com/user_details?userid=SIQt7VG22-d3dMMKXy3gjw","Suzanne C."
"Decent place, but probably won't be back.Food was good, but not worth the price. The meat plate (lamb, filet, prime rib) was tasty, but the meat was overly salty (I love flavor, but when served with multiple sauce/toppings the meat shouldn't be overly salted). The lobster mac & cheese was tasty but liquidy.  Service was very average, had to look around and ask other staff for orders multiple times.  I'm not sad we ate there, but have had better meals for half the price.","12/8/2016","3.0 star rating","https://www.yelp.com/user_details?userid=9eBvL5AiuDIu3jCyBwccQA","Anjum K."
"When a visit to the purple pig was thwarted  because of being closed for redecorating we ended up here.Nice cozy gentlemen club atmosphere...think high back chairs and lots of suits.  We tried a couple local beers and decided on the housemade corned beef sandwich with a yummy rarebit  and grainy mustard on a pretzel roll. Very tasty.We also got the poutine with chorizo gravy. Talk about a seriously good lunch.Prices were pretty fair for the area. Our server turned out to be a friend of our mayor back home in st. Pete so we had a great time speaking to him as well.I'd come back on my next trip north.","1/19/2016","4.0 star rating","https://www.yelp.com/user_details?userid=sh3V6hnNMLVV9YwFA9QNaw","Virginia G."
"We wanted to do steak at least once in chicago, but this presents a problem since I'm not of the meat eating variety of people. Side door seemed like a good compromise, steakhouse, yet still had some veggie options. Not to mention, multiple friends had recommended it. We had just spent them day walking around downtown chicago, so I guess we might have been a tad underdressed, but the staff didn't blink and led us to a table in the corner with two armchairs. Super comfy seating if I may say so. Granted, those seemed to be the only two arm chairs in the room, but whatever. Our server came over and explained the meat cutting board. After careful deliberation by my fiance, he decided on just the prime rib, I got the mac and cheese and the deviled eggs, and our server was super nice to make sure I could eat it. The eggs were really good. mac and cheese was really good too. But sorry sidedoor, we had Fork's mac and cheese the other day, and I was spoiled by that. My fiance, who had been a little apprehensive about his steak when it was set down in front of him, said it was the most amazing piece of meat. His steak came with friends and horseradish. I preferred the spicy horseradish to the mild one, but hey, different strokes. We thought about dessert, and then we just way too full to even consider it. Loved the decor, loved the pillar in the bathroom, loved the key motif.","6/19/2016","4.0 star rating","https://www.yelp.com/user_details?userid=xVZJVaLBpMN2HeTnZZ_V4w","Tova B."
"Fabulous dinner! Impeccable service and the entrees are delicious. We enjoyed the Prime Rib sandwich (best I've ever had), Shepard pie, mac and cheese (minus lobster for my 6yr old) and my daughter enjoyed the fish and chips.  Definitely coming back","12/28/2016","5.0 star rating","https://www.yelp.com/user_details?userid=ZMgTn2Ryco0yg41VnVYYEg","Brett B."
"Stopped here for a cocktail after shopping and sight seeing all day. Cute ""side door"" entrance. Great list of cocktail choices.","7/19/2016","5.0 star rating","https://www.yelp.com/user_details?userid=f0UuZtHWnxJqNDOe71junA","Debby W."
"Came in on a Monday for lunch.  We were sat in the front portion of the restaurant which only had four occupied tables who were finishing up their meals.  After seeing many great reviews I was looking forward to trying this place out.  For our entrees we ordered the pastrami sandwich and shepherd's pie.  The sandwhich came out about 12 minutes prior to the shepherd's pie and that after it sat under the heat lamp for a good five minutes. The bottom bun was soaked in grease.  I had to clean my hands after every bite I took.  The best part about the entree was the coleslaw.  They had a different spin on it than what I am accustomed to.  It was creamy yet tangy at the same time.  I could've had that as a meal all by itself.  The shepherd's pie was good, but not sure if I'd order it again.  Overall the service was mediocre and food below par.  With the restaurant being as slow as it was, I don't know why the cook fell behind on the order.  I am also wondering if they were short staffed that day too, as there were multiple tables that were left uncleaned.  It wasn't till almost the time that we left that they were cleared of the remnants from the previous patrons.","12/7/2016","3.0 star rating","https://www.yelp.com/user_details?userid=nBP8c1BHo7wK_IcEU3ZKmA","Dusten F."
