"real_review","real_review_date","real_review_rating","real_user_id","real_user_name "
"To preface, I have never written a review. It's not like I am that person who trolls services on the internet. However, this most recent time here really upset me - couldn't pay me to go back. Have been several times and never thought the service was great but I am the least picky person ever. The most recent time, they were horrible. We brought a group of 25 and they were flat out rude. Acted like they didn't want us there (no one in our group was drunk or acted immature so it wasn't us). Terrible service. Unique drinks but who cares at that point.","4/9/2017","1.0 star rating","00_DPbbQ_-AxaZnm_D3Yiw","Kory W."
"Me and some friends had a extremely unpleasant experience at this bar last night. We were with a large group, and when they gave us a table not everybody could fit in it. So some of us didn't seat, which is totally fine, and we spent the night standing, ordering drinks at the bar. Every once in a while a friend from the table would come and we would switch places so that everybody could rest a little bit. Until then, totally cool.Around 1 AM a few friends had already left the bar so we could fit everybody in the table. In the next hour, another part of the groups left and they paid the check, since they had a tab (some of us didn't, because we ordered our drinks at the bar). And AS SOON AS THE TAB WAS PAID the staff from the bar came, not only one person, but FIVE, KICKING US OUT OF THE BAR. Our group was in the table for the HOLE NIGHT, and they just kicked us out being complete assholes. I guess they assumed that we were a bunch of random people that just sat at the table AFTER the group left. They didn't even bothered to talk, just went there with 5 security people (as if we were a bunch of criminals), and kicked us out. An incredibly demonstration of lack of respect for customer. We were there the hole night, spend a bunch of money in that place, and just kicked us out of the bar as soon as the tab was paid.I guess they might think they are the last coca-cola in the desert, to show this lack of respect for customer. I can't believe I gave my money to this bar and I'm sure this will never happen again, since I won't be going there ever again.By the way, I've created this account just to be able to give this place one star, how shocked I was by the way we were treated.","10/2/2016","1.0 star rating","7w6po5bLVYSfM38GFeKiuQ","Marina C."
"Cheezy Tiki bar. Very bright lighting. Ridiculous tasting drinks. Enough said. Try it out yourself, & see what I mean. It's just not authentic & is a pretentious tiki bar environment, one that I've ever witnessed. I know, I know that's a rather superlative statement. It's not just about ABV content any more! Haha.","8/23/2016","1.0 star rating","L6MnhCyiw0M6tmZVzpbv-Q","Ali B."
"Horrible bouncer.  My friend, Cher has ataxia, which at times causes her to have slurred speech.  This was going to be our first stop,  because of the Yelp comments.  The bouncer was this cocky, regurgitate of a person who disallowed her to enter stating that she has ""already had too much""!  When we tried to explain her condition, he kept repeating ""that's not how this works"".  He was so inflexible, and toxic, and he couldn't imagine he would be wrong.  We quickly left to The Aviary, which is the best in Chicago. I don't care how good you are with service or drink flavors; It is all about first impressions and 3 dots is Awful!  Fire your bouncers or give them training!","2/15/2016","1.0 star rating","QxBolfV5X8K6pCcJJO2x5w","Charles G."
"Me and my boyfriend had high expectations for Three Dots and a Dash after reading about it on many websites and magazines. We are both bartenders and love tiki style drinks, so this was a must for our visit to Chicago.On Saturday he had the Mai Thai and I had the Three Dots and a Dash. The drinks were just as good as expected, but the atmosphere and service were not at all!We were expecting more of a laid back vibe like other Tiki bars we have been to. Three Dots and a Dash was a very loud club like setting. We waited at the bar, both staring at the bartender for over 15 minutes while he ignored us and served whatever girls with the lowest necklines caught his attention first. He was totally unprofessional and very slow at making drinks. When you are bar-tending at a busy bar with customers patiently waiting, there are plenty of ways to be fair and friendly. I work at a very busy bar and never ignore customers. If I am slammed, I let people who are waiting know that I'll be right with them and at least smile or say Hello. Also, when my bar is slammed I work quickly and not at the slow pace like this guy did. I've been to bars all over the US and he ranks as one of the worst bartenders I've ever had, it was that bad. The drinks were good (still not worth it though), but his attitude and actions ruined any positive experience we had for the night. It was a total letdown especially after being so excited to try this place.","1/5/2016","1.0 star rating","wJxdoqtiJnd_WwLRcz4BEg","Jane R."
"This place is terrible. Made my wife stand up an we had reservation have to wait until half the party come in order to set. Talk to manger and he didn't care manger name is Josh. Never coming here again","11/14/2015","1.0 star rating","u6CnhU8PFgk-qKOmY6NFWw","Nicholas L."
"Horrible attention. Bouncer was awefully rude to us (group of almost sober mid thirties adults) And told us to get The effin hell out of there just for asking some questions about why we couldnt seat at an empty table we've been sitting in for Like an hour.","9/6/2015","1.0 star rating","BkD0-tVSNtKBekVdm5cz2A","Alma P."
"I believe the manager is a sociopath.  Upon leaving I asked him whether he typically treats his patrons disrespectfully and he responded: ""You are not a patron anymore.""  I suppose dropping $$$ is not deserving of courteous service.  I would not suggest this location whatsoever.","8/26/2015","1.0 star rating","fcxtmd_6mSbfKfiSpIZHWA","Chathan M."
"This place sucks and is overrated ....... Disappointed the drinks were horrible and so was the service... I will never go back ever","8/12/2015","1.0 star rating","kvq5-jFUTrv6cENb-SHpqA","Redbutter S."
"The service was really disappointing from the hostess who seemed annoyed that we even walked in to the waitress who would go missing for a half hour and impatiently take out order which she got wrong and it took another 20 minutes to get our drink. We ended up being overcharged and when we politely pointed it out she mumbled ""it's possible"" dismissively and grabbed the check to rerun it. No apologies. The rude service was definitely a grey cloud over the whole experience. I've been to many tiki bars and this felt like a Disney version. Really exciting at first but then feels quickly kind of empty and void of quality and a good vibe. Drinks were strong and sugary but not that interesting. I wish I could give this place rave reviews but it fell flat.  :(","5/28/2015","1.0 star rating","-vJxTUvyn69yH-v4nKH8cA","Bethany R."
