"real_review","real_review_date","real_review_rating","real_user_link","real_user_name"
"Overall: For a healthy and hearty meal it doesn't get much better than this!The good:""Earthy"",""organic"",""natural""...whatever words you want to use. You know what you're getting into here. And, it's all delicious. The menu covers plenty of options (all sounded amazing) from salads, bowls, sandwiches, entrees, apps, custom drinks. My entire table all got different items and we all loved it. The ancient grains bowl that I had was top notch; the glaze, sauces, and ingredients were great. Portions are ""healthy"" and I left full and happy. Service was friendly and the atmosphere is clean and ""trendy"".The not-so-good: A little pricey. The entire restaurant was a little loud which may off put some people.Atmosphere: 9/10Service: 9/10Food: 9.5/10","4/19/2017","5.0 star rating","https://www.yelp.com/user_details?userid=O54qpaPFcfpR9rf7f6Ltag","Kyle D."
"I really like the concept here - healthy meals that don't make you feel guilty after eating them. I had the chicken teriyaki bowl. It was tasty, no complaints. We also shared the edamame dumplings, which were also good. On the inside, the place is gorgeous. High ceilings and lots of natural light; aesthetically, the place is stunning. It's a great ambiance for a date night or a group dinner. Be warned, it's noisy in here so if you go in a group, you'll likely be chatting with only the people immediately next to you. Oh, and it gets very busy despite the fact that it's a large place, so definitely make a reservation ahead of time. Otherwise, you'll be sitting in the bar area. My only complaint is that the food is pricey and the portions aren't exactly big for what you're paying. I guess portion control is a good thing?","4/30/2017","4.0 star rating","https://www.yelp.com/user_details?userid=iCQysHJjDekomKQirkF43w","Jenn H."
"Had lunch here on a Sunday afternoon. It was VERY busy so I'd say book a table in advance. Service was excellent, very friendly waiter who made menu recommendations and was playful to our little toddler. They didn't have enough highchairs which wasn't ideal but we managed. Food was delicious. We had the beef tacos, mushroom pizza and the margherita pizza from the kids menu and two skinny margarita cocktails which were yummy. Price is on the high side however. Definitely a great place for vegetarians and vegans. Good clean food with good healthy options. I'd go back. And I'd recommend.","4/28/2017","4.0 star rating","https://www.yelp.com/user_details?userid=59eh1yiSQA6EWVj-3f7Smw","Marie M."
"Casual setup that makes for a nice lunching spot. There's plenty of natural sunlight, and the space is very open and inviting. Kale Aid juice: 3.5Kombucha: 3.5Grass-fed Beef burger: 3Good meat and seasoning, but the bun was soft and wet. Not close to being the best burger, but good and satisfying. Kale salad: 5 Very flavorful and lemony. Grass-fed beef tacos: 3Didn't like the seasoning, but not bad. Beans with parmigiano: 3Coffee (Passport): 4Gluten free chocolate cake with ice cream: 4The lively ambiance and friendly staff are what make this casual dining space worthy of returning to. Food was subpar.","4/21/2017","3.0 star rating","https://www.yelp.com/user_details?userid=YpYn1voVl9VOMtkZj-XMhw","Romana Y."
"Come on in, eat your veggies and feel good about how well you adult! Am I the only one that feels proud when making responsible, healthy meal decisions in a city filled with indulgent comfort food? I know I'm not. The good news is, at True Food Kitchen, you can feel good about what you eat, without suffering through a flavorless meal that reminds you through every bite that adulting is hard. And if you happen to be having a day where you feel like adulting is extra hard, feel good knowing that True Food also offers a fresh and fruity cocktail menu as well.When we dropped by for lunch on a weekday, the place was packed, so make sure to make reservations. Once seated, we were able to order quickly, with the food coming out even more quickly. I ordered the Butternut Squash Pizza with smoked onion, organic kale, vegan almond ricotta, dried cranberry. The pizza was outstanding, and easy to share with a group. If you're ordering only for yourself, it will be more than enough and you'll probably need to take some home, so sharing is a great option. I also ordered the Seared Albacore Tuna salad, with  avocado, grapefruit, cabbage, cashew, watermelon radish, thai basil, sesame, chili garlic dressing. It was one of the beautiful and one of the best salads I've had in awhile. In fact, although full there was no way I was leaving my leftovers behind. Overall, loved the natural light and simplistic aesthetic of the restaurant and everything that our entire group ordered seemed to have been enjoyed. Now that I've discovered True Food, I look  forward to stopping by the location in the DC area in the near future.","3/31/2017","4.0 star rating","https://www.yelp.com/user_details?userid=qI3uzegMdq3q3WxAajECGw","Tara L."
"Delicious food that was healthy and fresh. There were so many great options on the menu it was hard to decide what to get. I guess they get very busy because the hostess said there was a 30 minute wait without reservations or we could seat ourselves at the high top table. There were many open tables but they must have been for reservations. I got the spaghetti squash casserole and my friend got the inside out quinoa burger that came with a choice of kale salad or squash. We both loved our meals and the waiter was awesome. I would definitely go there again.","4/21/2017","4.0 star rating","https://www.yelp.com/user_details?userid=uZzLrBQDj29O28Jj3WDfOA","Billy L."
"I'll just put this out there: I'm a horrible eater. I always crave fatty and ultra heavy foods. With that said, I was particularly surprised at how much I enjoyed this place. I ordered the grilled chicken salad and it was perfection. I could eat bowls and bowls of that stuff. The best part about it was that I was just the right amount of full and (for once) felt proud for putting something nutritious in my body!","4/12/2017","4.0 star rating","https://www.yelp.com/user_details?userid=B0HexfN1tarLKbIcxvh4dA","Charisse B."
"Awesome food! Went here with a group and tried lots of dishes. We started with kale guac, which I'd say was good but fairly standard. We also tried the cauliflower (delicious!!) and edamame dumplings (amazing - so soft). Then we got the squash pizza, which was probably my favorite - baked to perfection and topped with the perfect cheese (if I remember correctly I think it was ricotta). We decided to add another dish - some sort of bowl plus steak (it had quinoa) - after feeling like we could eat a bit more, and that one became my new favorite LOL.Ended with two desserts - chia seed pudding and apple crisp. Both good but not must-haves, in my opinion. Good food, slightly $$ but awesome space and ambiance!","3/15/2017","4.0 star rating","https://www.yelp.com/user_details?userid=Z6UZvxZDgDsFn-f54QDzpQ","Susan L."
"I absolutely LOVED my two visits to True Food Kitchen. I agree with the reviews that state that you can leave here and NOT feel crappy from what you ate. I didn't realize this was a chain and haven't been to any of the other locations. The space is mostly bright, spacious, and so open! Initially, I thought the front room was the entire restaurant, but there's a whole other section in the back right next to the open kitchen!  The first time I went, we had reservations and were seated within 10 minutes. The second time I went, we walked in and were quoted 25-30 minutes and they texted as soon as the table was available. That second time I went, I was following the whole 30 eating plan and was able to make my food whole 30 compliant, which was AWESOME (and hard to accomplish at many restaurants). That time around, I had one of the salads and asked to modify it a bit. The waiter was extremely accommodating!Other items we have ordered include:+ Kale guacamole - delicious! I asked for veggies to dip into the guac and they brought a dish of crudite out.+ Edamame dumplings - REALLY good - the white truffle oil is a nice touch and the small amount of broth they come in is delicious. + Charred Cauliflower - the contrast of the harissa and the dates really worked for this app! so good!+ Butternut squash pizza - basically got this because we wanted to try the vegan almond ricotta, but REALLY enjoyed the entire pizza! Kind of oily at the bottom, but overall SO good (do you see a trend??) + Inside Out Quinoa burger - ordered this as my entree and loved it AND the hash that came with it! The quinoa patties were actually a bit dry, but otherwise the dish was fine.+ Spaghetti Squash Casserole - my friend ordered this and I had a bite. The sauce was pretty tasty, but it was insanely cheesy (which I usually wouldn't complain about, but if you're trying to make the dish healthier with spaghetti squash, the cheese is counteracting that effort)+ Spicy Panang Curry - another friend ordered this - I didn't try it. She said it was VERY good, just VERY spicy for her. She ended up asking for extra rice since she went through her portion quickly while trying to bring the spice level down a bit.For drinks, I tried the War of the Roses cocktail (special Valentines week menu) and the Farmer's Market Sangria- both were great.Overall, I loved this place. I cannot wait to try their brunch and go back to try more items on the menu!","4/6/2017","5.0 star rating","https://www.yelp.com/user_details?userid=cp-rWPVqlGyuroPKoBefYQ","Ritu D."
"I ordered a kale salad with chicken! One of the bast salad that I have ever tried! But I just would like to point out that it will let you with bad breath hahahahahah seriously! It is so delicious but after eat it, just make sure that you have a trident in your bag hahahahahahaha it never happens to me! But it was immediately after I eat the salad! In general, the concept that the restaurant offer is amazing! Everything in the restaurant is seasonal, fresh, and so delicious! Excepted a drink that I order which was a grapefruit soda, it was horrible! I would like to come back and order different things on the menu!!! They offers not only salad, but also pizza, soup, burgers, wraps, bowls! The service was really good!The price: I order a salad, and a grapefruit soda and a plate with 2 tacos! Total: $ 49 dollars with tax and tips!","2/18/2017","4.0 star rating","https://www.yelp.com/user_details?userid=N68uWqe4t0JY59sXAsJ7gA","Valsielen M."
