"real_review","real_review_date","real_review_rating","real_user_id","real_user_name "
"Came in to get the BDC (rotisserie chicken) on a Monday- was told 40 minutes. I said sure thing. After 43 minutes I go ask how much longer, the owner says 9 more minutes pointing to a timer. I ask, if you have it on a timer... Why tell me 40 minutes? He responds it's their third batch today. Not quite sure how that's relevant at all- really don't understand the blatant deception. I mean most places tell you longer than expected, but this man has the chicken on a legit timer and just lied.","1/23/2017","1.0 star rating","2JdJdy6c13e_GMLapCE9Mg","Enrico B."
"3 tacos and 1 drink - $20.overpriced and underwhelmed. never again.","4/26/2016","1.0 star rating","TOkzGSzv39eOotTLfaNudQ","L H."
"It took forever to get my cold tacos that were soggy... Way better tacos anywhere else.","9/22/2015","1.0 star rating","KEVrzrBNTlfLVYpbEezYnQ","Javier G."
"The tacos were over hyped and not authentic enough for me... might as well be taco bell","2/3/2016","2.0 star rating","9JQ98f5UutAUvkWYmjVr2g","Ernesto G."
"We ate tacos there and other spicy food, tacos we liked very much, everything with chicken inside was not so fresh...","11/23/2015","2.0 star rating","K8wcSyYCTdz29wCrxw5EOQ","Jack S."
"It shouldn't take 20 minutes for 2 carry out, mediocre tacos...  I think they need to get the kinks worked out to try to speed the production up so that the wait is not so long.  Again these are tacos...   There was over 10 staff members in the kitchen so the wait baffles me..  The staff also very young and attitudinal, no customer service or people skills.  A better location for this place would have been wicker park.  Overpriced as well, I don't care if your in the Gold Coast, tacos should not be this expensive especially for the wait and the pretentious service!  These millennial operators need some better social skills..","3/7/2015","2.0 star rating","DkT4xIZlnNwyGcpgU7vD7g","Charles B."
"What's up with people from the Midwest making tacos with flour tortillas? That shit is whack. As any Mexican knows you GOTTA make a Taco with a corn tortilla. Anyways, I'm giving this place 3 stars since the actual ingredients within the taco were quite delicious and filling. The sauces they had on the side were flavorful, too. Worth a visit if you're hungry and happen to be in the area. Being from Southern California I'm a bit of a taco snob, but there are a few other spots that have definitely delivered. Namely Más, Metro Taco, & Carintas Uruapan. Get your taco on!","4/29/2017","3.0 star rating","pzhJRz4Ay5IcfwYh4EKkvg","Roberto R."
"two small tacos one form the cheaper menu and rung up for a total of 10.50 with just water to drink. yowsa. theres just a tiny more filler in there than last time but my second taco the brisket just fell apart on first bite. the soft tortilla had zero change of staying together sigh. so as usual th sauce on tables is great but I left hungrrrrrry. for 10.50 uh no. good taste tho so 2.5ps there is still a tip jar at the register as you order and pay. WHAT THE FARK FOR???? LOLOL hate that plus no one has any money left to do that lol","11/1/2016Updatedreview","3.0 star rating","s0kJco8W1w9rH9mrbuvPJw","Darl B."
"Food's good, service sucks.  Completely forgot to make my order and staff couldn't even be bothered to apologize for making me wait.  I'll keep coming for the food, but they'll never get a tip from me.","1/12/2016","3.0 star rating","oKt8wxAfiAvLUx94ACSQlw","Sean F."
"The food is better then ok, really tasty, but I hate long tables. Like in the army, not comfortable...","11/25/2015","3.0 star rating","8MPMpnrkndUCq8_3b3O-yw","Carmen B."
