"fake_review","fake_review_date","fake_review_rating","fake_user_id","fake_user_name "
"I must have eaten somewhere else than the other reviewers....I had a baha chicken torta and chips/salsa....the torta was mostly dry bread, very little sauce, and some poor quality chicken.  The fresh chips were not fresh and very bland, the salsas were really nothing to cheer about...mostly vinegar and a little spice. Diners eat at a ledge...not really even big enough to be considered a counter...most staring at a wall.  The only thing they had going for them was the reasonable price IF the food had been decent.  Chalk it up to lesson learned.","3/23/2017","1.0 star rating","_eJr8zTvAwOonMpgDcZJMQ","Laurie W."
"Staggeringly poor service and incompetence. Never wrote a Yelp review but this afternoon compelled me to sign up. I work across the street from this place and know the food is great but for the second time this month my food never showed up when I dined in. If you're going here with multiple people you've been warned. The refund happened after I waited 10 minutes for the cashiers and manager to figure out how to process a refund. In the end they gave me cash back because refunding a credit card wasn't happening. Never eating here again.","5/27/2016","1.0 star rating","dTbnY5n1cRPFiL2oXpdtqg","Steve R."
"My group and I have never experienced worse service at any restaurant anywhere in the world. If you want to be insulted by service staff, ignored, condescended to, while watching a  whole pack of lazy cooks standing around, playing with their phones, back-slapping and high-fiving while using their job to flirt with waitstaff and customers, then this is the place for you.We came for lunch in the middle of the week. There were all of 2 people in the restaurant. It was essentially dead. We placed our order at the counter for 6 pepitos (sandwiches) . 5, 10, 15, 20, 25 minutes passed. Not a single item came out. We counted literally 6 cooks standing behind the counter. The one cook who was apparently making our sandwiches didn't even start them until maybe 10 minutes after we ordered. No one was doing prep or anything during this time. Most were playing on their phones. When the cook who did ultimately start our sandwiches come out, he emerged from the bathroom, looked unclean, and proceeded to handle our sandwiches excessively with his bare hands as though he was playing with play-doh. One of my colleagues mentioned that he saw this cook in the bathroom when we came into the restaurant. I will not repeat what he was apparently doing.25 minutes into this ""experience"" (for sandwiches, no less), we asked the gentleman who appeared to be the chef how much longer it would be. This is downtown Chicago and most get an hour for lunch and of course it takes time to walk to and from work as well, so the time spent already was beyond absurd by any standards anywhere and especially for a massive cooking staff like this who were doing nothing. He shrugged dismissively and said, ""takes time"". We explained we ordered 25 minutes ago (and paid for it then, incidentally). He literally went over the cash register, said he was the ""chef"", looked at the register and said ""it only 17 minutes"". I said that was not true and showed him the time on my last phone call where I disconnected just prior to ordering (which at that point was 28 minutes in). He shrugged again and turned around.A person we thought was the host walked by and she was even more rude it turned out to be the manager and she was exceedingly rude and dismissive when we brought this to her attention. She also said, ""good food takes time"". That is beyond insulting. Setting aside that this was lunch, and rush hour lunch in downtown Chicago, and that we had merely ordered sandwiches, now half an hour into it to have her claim that there was some sort of snooty culinary magic going on requiring patience when she could see for herself that there were literally 6 cooks standing around literally doing nothing (and I mean nothing), is really insulting.The one cook (the one from the bathroom) who was then standing by the oven with tongs in one hand and phone in the other was glaring at us at that point to such extent that there was significant smoke coming out of the oven and the bread on one of our sandwiches was absolutely black and beyond charcoal burnt as in still smoking of burnt when he pulled it from the oven a good 30 seconds later. He proceeded serve the ruined sandwich with the others. We pointed this out to the manager. She denied it was burnt but at the same time refused to even look at it. We left without sandwiches and literally picked up sandwiches down the street (which took all of 5 minutes to prepare, at a fraction of Xoco's prices I might add). We left business cards and asked for Mr. Bayless to give us a call. We wanted to follow up and extend the courtesy of letting Mr. Bayless know what is going on under his name. No call came from Mr. Bayless a week later. I called again thinking the manager went out of her way to make sure the message didn't get through. This was confirmed when another manager, this time male, went out of his way to refuse to contact Mr. Bayless and was even more rude than the female manager. He claimed he looked into it, had a staff meeting and concluded we were ""crazy"" and it only took ""a few minutes and your sandwiches were ready for you"". I asked him to please review the video and offered to send him my phone logs. He confirmed to me through his response that this problem is systemic from the owner to manager to staff passed on down in stating, ""I don't need to review the video. Mr. Bayless does not care. You are crazy and I am too busy to speak with you as well."" He then hung up the phone.I write this review because I think yelpers are smart enough to draw their own conclusions as to whether or not this establishment warrants high ratings for overpriced Mexican food from a pretentious and insulting staff just because Rick Bayless' name is on the door. The consumer experience on the whole from sandwiches that are maybe 20% better than the average sandwich (at 3x the price) when even more offset against the wait times and slaps in the face from rude industry workers, renders the experience at Xoco one to skip, nay run, past.","4/6/2016","1.0 star rating","f0V_y3Yc82MMGgdUi04ctg","Maria H."
"My sandwich was all bread and the food was to salty","2/21/2016","1.0 star rating","G_WCn81CICOGoQ5_Kxtp4w","Cam W."
"Very popular spot but to me it just seems like mexican food for white people. I ordered a torta and it came on flat bread. Yea.. not too may flat breads in the homeland lol!","1/12/2016","1.0 star rating","9oioo7RYV8ezw6coC3y2Ow","Mary L."
"This place is horrible me and my family dined here today. The portions are too big but the soup and meat are bland and the tortillas are always cold. I wouldn't recommend this place because me and my son were throwing up after we dined here.anyone who has a desire for good dining DO NOT EAT HERE","11/11/2015","1.0 star rating","Z2Py5xWFz6FpSPSXD4DHow","JJ B."
"Went for brunch on a Saturday. Their breakfast menu ended by 10 am. Ended up settling on chicken pozole. It was horrible. The broth was watery and lacked flavor. The hominy was hard and seemed undercooked. Overall it seemed rushed. Never going back.","9/5/2015","1.0 star rating","nVpZp1EyV0CV_jPdtdasVg","Ana M."
"No es comida mexicana del todo. Los platillos son ricos y bien condimentados, pero TOOODO lo sirven en sándwich o torta. El guacamole es una burla y no por su sabor, si no, por la cantidad que sirven, me parece extremadamente pequeña para el precio que le otorgan.Los precios varían entre 20-25 dólares por persona, los cuales pagaría con gusto si verdaderamente fuera un plato de comida mexicana en Chicago, pero no lo es.El trato es amable y cordial.","4/21/2015","1.0 star rating","9qLRLb8LubXRiJgaq3u1Hw","Ale F."
"I've been to XOCO 3 times, mostly because I tried to give it a chance (or two). I'm never coming back again.The food is subpar, because the ingredients do not taste fresh. Worse than an airplane meal. The chicken in the Baja Chicken sandwich was rubbery, tasteless, and smelt like it's been defrosted and reheated in a microwave oven. The Pozole soup smelt like someone scooped water out of the toilet. It may sound harsh, but I cannot justify paying 12 bucks for this food!I haven't tried the dessert (which may be great... who knows), but from my experience this place is an overhyped piece of garbage.","9/6/2014","1.0 star rating","N3-z2qit-Ij3LoggpzsN4Q","Alexander K."
"I went to this place with my boyfriend. I didnt enjoy my experience. I don't think the food was worth the price and the staff wasn't helpful. They all seemed annoyed and rude. I wouldn't recommend this place to my friends.","8/8/2014","1.0 star rating","dB1OO9U_w4syVYVXFWDdvQ","S W."
"This review has been removed for violating our Terms of Service","9/21/2014","1.0 star rating","ePrFE0tnzk_0zJF6D-Dnrw","Tri A."
"This review has been removed for violating our Terms of Service","9/6/2014","1.0 star rating","K-4qXSrWpce-aQJ0oaMRFQ","Maria E."
"This review has been removed for violating our Terms of Service","8/29/2014","1.0 star rating","mA5OkOrNogeTW1E35go4cA","Sue T."
"This review has been removed for violating our Terms of Service","8/15/2014","1.0 star rating","dAGpGZAfA1jlSRi0FfPtwg","Annamarie G."
"This review has been removed for violating our Terms of Service","7/28/2014","1.0 star rating","03YPiMGvGDb0zJrWEgqIBQ","D J."
"This review has been removed for violating our Terms of Service","7/2/2014","1.0 star rating","VLp-x1HEAEW10s-gyJVSjg","D S."
"This review has been removed for violating our Terms of Service","6/9/2014","1.0 star rating","AhycHQ9AUz7QX0SFnN3pGg","Donna D."
"This review has been removed for violating our Terms of Service","4/7/2014","1.0 star rating","lVk9dnSwrvfE8eoxWSdNTg","Judy A."
"This review has been removed for violating our Terms of Service","3/1/2014","1.0 star rating","y9ZhY9dlLvQ9GPFcLD-ZUw","B B."
"This review has been removed for violating our Terms of Service","1/10/2014","1.0 star rating","Q3ztLxbuC7TBcNIe15KtgQ","Jan S."
"If you love to wait  for long periods of time for very pricey and sub par food XOCO is for you...","6/3/2014","1.0 star rating","PzRP67zESlZgoHTDV1-lYQ","Ali S."
"I had heard great things about XOCO so was thrilled when we decided to go there for lunch a few Saturday's ago.The line to get it was practically around the block but we decided to stay anyway.  The line moved quickly and once inside we entertained ourselves by figuring out what we would have for lunch.We ordered the guac combo for an appetizer and she ordered the ahogada while I ordered the carnitas.We were shown to a table and waited...  a long time.  The guac was fantastic.  We waited some more and finally the sandwiches showed up.  What a disappointment.  Dipping a sandwich into soup is just not working.  In addition, the sandwiches were nothing much.  But, at the suggestion of a neighbor we ordered the ice cream with bacon.That never showed up, even though we had paid for it ahead of time. It took over an hour for us to get hold of someone who would refund our money.I definitely will not go to XOCO again.  Too long a wait, food not good and service is lousy.","3/26/2014","1.0 star rating","6Z5ilboY62Ut0iGB1Fagsw","Ana B."
"place stinks!!","8/1/2013","1.0 star rating","Nyun1nxXscrTMJakz-mH3A","Maza I."
"Too spicy.","5/10/2013","1.0 star rating","rW7tdfiEoXw4hL0HyL7gnw","Jill C."
"Overrated, over spiced, over priced.","7/30/2012","1.0 star rating","t5zkpDy_pTYKV6aVSImCdA","Bob E."
"suckling pig sandwiches at this place? i don't care how good the bread is...what kind of creep kills a baby pig?","4/7/2011","1.0 star rating","aWQRY3AamZksmFxeUpS6og","Robyn H."
"So I went to this place to have churros and a chocolate drink. You'd think these two simple things would be amazing here, right? I mean, with the Bayless and all. Guess what... they're not. I'd rather go to Starbucks and then the churro stand at the Navy Pier, as the food at those places is better, cheaper, and quicker to get despite having to get from one establishment to the next. Bayless is overrated.","7/19/2010","1.0 star rating","5EGIbKUdaFfYbk8UN6dtBw","Skorupa S."
"Rick Bayless, I don't get it!  Went to Xoco right before lunch on a Saturday.  We had to wait to order tortas until 11:00, so we decided to have some chocolate and churros.  I also decided to have an empanada while waiting.  The chocolate with almond milk had a little too much almond flavoring in it, otherwise it was OK.  The empanda tasted Ok and would have been much better had it not been icy cold in the center.On to the tortas.  Ordered both a chicken and a short rib torta.  We were sitting right at the end of the serving line where the sous chef  gives the food to the servers.  Prior to recieving my torta my wife turned to me and said I was not going to like my order.  Just then the food arrived.  I looked down on my torta and it was not slightly burnt but black.  I looked at my wife and asked her how she knew.  She said she was watching our food come out and heard the server tell the sous chef that the sandwich was burnt.  The sous chef then turned the sandwich over and handed it to the server.Standing above the crowd is not what I would call Xoco.  For much less money I can go to any number of Mexican places in Chicago and get better food and better service.  The worst of it is I sent an e-mail with a picture of the burnt torta to the e-mail address on the website.  I am assuming that responding to customers concerns is not one of yours.","2/22/2010","1.0 star rating","a71BvyrYg3-Ll1qROXd1-g","Thomas S."
