"real_review","real_review_date","real_review_rating","real_user_link","real_user_name"
"On 4/21 'Friday Night Fun' we chose to order takeout from XOCO. Best decision of the day!! We ordered a lot of food and everything was yummy at a great price!The first sign I saw when we walked in was 'Guacamole Bar' *Yea* we decided to order the Almost Naked Guacamole, made with roasted garlic tomatillos, as it was the original. By adding only homemade queso fresco , the tanginess really stood out with the fresh house made tortilla chips dusted with lime salt. The XOCO signature salad is a mixture of romaine and arugula, topped with black beans, avocado, onions, tortilla strips and a tart avocado-lime dressing. The salad was light and delicious and I'll be sure to order extra dressing because it is wonderful!The crispy Chicharrones were a delicate and airy treat topped with queso anejo, cilantro, and onions. I don't say this very often, but the side of tamazula hot sauce was almost too hot for me. So I'm glad it was on the side- the kick was powerful!The side of Oaxacan-style Peanuts came in a cute cellophane package; the seasoning of roasted garlic with lime and arbol chiles tasted just as it looked- spicy salty goodness!When it came to the Meal-In-A-Bowl Caldos, we decided on the slow-cooked pork carnitas. The broth was delightful, containing potato-masa dumplings, chayote, roasted serrano chile, arugula, and avocado. The dry ingredients were on the side so they didn't get soggy. The ratio of broth to product was perfect and I even dipped my portion of the tortas into the soup to sop up that mouth-watering broth. We ordered three styles of tortas for variety and each one had flavors that stood out on their own:The Cubana (from the griddle) had thick strips of bacon piled on smoked pork loin, topped with black beans, avocado, jack cheese, chipotle mustard, morita chiles, and a house made cilantro crema. It was smoky, creamy, and hearty. The Daily Special for Friday was the Smoky Garlic Shrimp. The seared, plump and juicy shrimp were smothered in chipotle-garlic mojo with arugula, black beans, onions, and goat cheese. Each bite was a harmonious blend and one ingredient never overpowered the others.The Woodland Mushroom (from the wood burning oven) was easily my favorite of the tortas. As the vegetarian option, it had meaty wood-roasted garlic mushrooms, black beans, arugula, goat cheese, housemade three-chile salsa, and a drizzle of olive oil. I savored Every. Single. Bite. and wished we had ordered two of them. We received extra tomatillo and three-chile salsas- much appreciated!I wanted to try the Xoco flan, but they were out, so I opted for the Tres Leches Cake as my birthday dessert. The pistachios and oranges were amazingly colorful and the bright spongy cake melted in my mouth. It was lovely to behold, had style, flavor, richness, and was easily shareable. The Mexican Chocolate Hazelnut Cookie was a good size with large chunks - delectable!Eating from Xoco was a wonderful experience for me and a great introduction to Mexican street food. I will be back to try the flan :)","4/26/2017","5.0 star rating","https://www.yelp.com/user_details?userid=M6o_5diZgqzdswJnWZNKzg","Nicola P."
"Came here with my coworkers for lunch once because I had heard great things about this place. The food was ""okay"" at best, but it was a little overpriced for the portion size. I got a caldo and it was a bit on the salty side.","4/29/2017","3.0 star rating","https://www.yelp.com/user_details?userid=CQcd6Ug2kpDIkhrsltT3aA","Omar N."
"Choriqueso torta.Oh.My.Lawd.Also churros.Hrrrnnggghh.This place alone makes me want to return to Chicago.","4/21/2017","5.0 star rating","https://www.yelp.com/user_details?userid=KXX_KFF_TS2cKrg2_2RfSA","Beck E."
"Xoco is a more affordable option for Rick Bayless lovers that don't want to shell out $100 plus for a good dinner.  The beloved torta rates in at $9-$12 for a fabulous lunch or dinner.  Order when you enter by placing your order at the counter and then a hostess will show you to a numbered table and they will bring your food out to you when ready.  (turn around was quick 5-10 minutes).  Tortas are very shareable plates so if you have more than two people order a few different ones, so you can share.  We shared the Pibil (pork) and all tortas come cut in half.  Ours had a great crunch in the bread and some great sauce on the pork.  If you like spice this one comes with a habanero sauce but be careful this sauce is hella HOT!!  They also have alcoholic drinks here (didn't try).  But I can speak for the agua frescas they were delicious!","4/12/2017","5.0 star rating","https://www.yelp.com/user_details?userid=2FvLETSSBOTsyuQmAsQrxQ","Amber L."
"Not gonna lie been a big fan of Rick Bayless, used to watch him on tv all the time. Came by here for a quick lunch. I always thought this was a sit down restaurant, but after coming it it kinda of gave me a ""Mexican Panera Bread"" vibe. I got the short rib sandwich, which was the special of the day. The sandwich was pretty flavorful, reminded me of the sandwich i got at Cemitas Puebla!! Add a delicious chocolate flan, and my lunch was close to $20.. Don't know if the price point is worth the portion size, also including the ""panera"" fast food atmosphere. I think I would prefer Rick's other spot Frontera Fresco over this spot for those reasons. But one thing is clear Bayless knows how to make tasty food!","4/27/2017","3.0 star rating","https://www.yelp.com/user_details?userid=z-ac4aPTz64j2ehH7qfqcg","AJ M."
"Xoco is high-quality Mexican cuisine served fast-food style. They feature sandwiches, sides, and desserts plus Margaritas. A remarkable place for unbelievable authentic Mexican food.If you are coming for lunch, get here early if you can. The line grows fast. You essentially order at a counter and then find a table or bar counter.  They will bring your order to you.  The service is very attentive. The staff is welcoming and regularly checking with you to ensure you have what you need.I usually order guacamole fully dressed which comes with spicy roasted poblano, chicharrón (crispy fried pork skin), grilled onion, smoky bacon, local tomatoes, queso fresco (fresh cheese), pumpkin seeds, minus the pumpkin seeds LOL. The guacamole is refreshingly fresh and creamy.I essentially come here for the tortas. I always say next time I'll get tacos, but I keep coming back to the tortas. The quality of the food is as respectable as any upscale restaurant. I've tried several of the tortas and these are ones I keep ordering again and again.AHOGADA - pork carnitas, black beans, tomato-Arbol chile broth, pickled onions. This is by far my favorite torta. The presentation alone is worth ordering, the two halves standing on end in a bowl of tomato-based goodness. The levels of flavor are heavenly.COCHINITA PIBIL - Wood-roasted Gunthorp suckling pig, achiote, black beans, pickled onion, habanero. You can never go wrong with suckling pig! LOL. This sandwich is another amazing Rick Bayless masterpiece.CHIPOTLE SHRIMP - Mexican blue shrimp, avocado-tomatillo salsa, local artisan Jack, pickled Manzano chiles, arugula. If you're lucky enough to be in Chicago on a Friday, you must try the daily special. This torta is bright and fresh with incredible flavor.GOAT BARBACOA - braised goat, Oaxacan pasilla tomatillo salsa, avocado, onions, cilantro. Another daily special for Saturday, but the braised goat is so enjoyable.I highly recommend coming to Xoco, the food is unbelievably awesome. Xoco is by far the best Mexican food I've had from a place that is basically a fast-food restaurant. It's a must stop for me whenever I'm in Chicago.","3/25/2017","5.0 star rating","https://www.yelp.com/user_details?userid=nT5usSDYKPL8wJu4zcm8jw","Thadd J."
"Ordered the chicken tinga and the spare rib tacos. For $12-$13 for four tacos, it's a pretty decent price. The tacos were juicy and tender. The avocado slice in each taco gave it a creamy texture offsetting the meatiness of the taco. The spicy sauce that came with it was very tasty (and I normally hate spicy sauces). The churro was delicious. Definitely get the chocolate shot to dip the churro. Not the softest churro but still great.","4/1/2017","4.0 star rating","https://www.yelp.com/user_details?userid=etNQ48VMk-5pX60cuAqs8w","Abby T."
"Xoco is the most reasonably priced, laid back and casual restaurant of Rick Bayless's Chicago outposts. The menu here is composed of mostly Mexican sandwiches, soups, and snacks as well as some breakfast options and a few cocktails. A great place to come for a unique lunch.Located in Chicago's bustling downtown River North area on the same block as two of Bayless's other more upscale dining locations (Topolobampo and Frontera Grill). You walk in and hop into line which was short when I arrived around 11:30 AM on a thursday in July but grew tremendously fast thereafter. After ordering you retreat to a table or counter stool of your choice with your drinks and your food will be brought out and delivered to you soon after. Note that if you order an oven roasted sandwich like I did it will take about 15 minutes to come out.For my food I of course had to order the churros with housemade chocolate for dipping since they get constant rave reviews and always make the list of top foods to try in Chicago. I also went with the Thursday specialty shortrib sandwich for my main course. The churros and chocolate were pretty good but nothing out of this world. The shortrib sandwich was very good and came with a very flavorful dipping sauce. The sandwich came loaded with black beans, cactus salad, and avocado which made for a delicious, flavorful, and unique blend of flavors. For a drink I ordered the Mezcal Fresco which tasted a bit watered down and was small for the cost of $11.Overall I totally recommend this place as a really nice and reasonably priced lunch spot for a unique Mexican meal prepared by people who know what they're doing when it comes to Mexican cooking. I would also recommend skipping the cocktails and getting here by 11:30 AM or be prepared for a long line.","3/6/2017","4.0 star rating","https://www.yelp.com/user_details?userid=ozVlStttOsOZ7TqJIxGq8A","John K."
"After a recent visit to Madrid I've kept my eyes open for churro con chocolate options stateside.  Boom! Xoco was conveniently located a few blocks from my hotel in Chicago. Thank you, Yelpers. I'm a huge fan of Bayless' work - be it restaurants or his PBS show. This business is a great extension of his farm to table focus with greens grown in his backyard and meat sourced from Gunthorp Farms in northern Indiana. As you wind your way through the ordering line at Xoco you can read about where the ingredients are sourced and see the cuisine being made before your eyes (beautiful open kitchen with a window overlooking the sidewalk). The menu is fast casual with an emphasis on high quality ingredients. As for the churro, they offer a classic churro con chocolat as well dipped options like pistachio and chocolate and peanut butter. I opted for the dipped chocolate peanut butter. I so wish I could have given this experience five stars but the churro seemed to have been fried in the same oil as other dishes for the restaurant (savory dishes). In the end it tasted too oily and tortilla-ish. It seems like this would be an easy fix or maybe someone accidentally fried it in the wrong spot? :/ I will definitely return for the savory options. The environment and price are also worthy of a return visit.","3/2/2017","4.0 star rating","https://www.yelp.com/user_details?userid=AHRrG3T1gJpHvtpZ-K0G_g","Brittany S."
"I was in Chicago for a vacation and we felt like Mexican food so after reading some reviews of a few places we settled on this restaurant and were very glad we did. Don't expect a fancy sit down type of place. You stand in line to order your food and then they bring it out to you. We both got the vegetable tacos which came with 4 small soft shell tacos and were absolutely delicious. It doesn't come with anything else but we ordered their naked guacamole which comes with two toppings of your choice. We selected poblano and grilled onions. Everything was awesome!!","4/21/2017","4.0 star rating","https://www.yelp.com/user_details?userid=uZzLrBQDj29O28Jj3WDfOA","Billy L."
